bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,3.616724827112512e-11,-4.48321307513252e-12,0.0,0.0,3.537119279885733e-11,-3.5206239652076043e-12,9.6481575054113e-14
LT2,3.96,0.0003903735074219562,-2.2245859507726803e-05,-31.679999999999996,0.0,0.00038867970927843206,-1.9408106540079318e-05,2.0360290578670535e-07
LT1,7.92,0.0008796726535589186,-0.00019878263026368404,0.0,0.0,0.000814143600616562,-2.175068880895482e-05,8.265309894789375e-06
LT2,7.92,0.001293459101494604,-5.315304969895138e-05,-32.05,0.07599999999999985,0.00129293210799141,-5.225370715213793e-05,6.380830267929829e-08
LT1,11.88,0.002557920851916265,-0.00018254957387917628,0.0,0.0,0.00248924015214938,7.242746063614014e-06,9.140699074065616e-06
LT2,11.88,0.002596002242494056,-8.240900195402661e-05,-32.05,0.6589999999999998,0.0025983384840550807,-8.669845229243486e-05,-3.043302085872655e-07
LT1,15.84,0.004001531968140888,-0.00011113722925736959,0.0,0.0,0.003937961191114838,9.014979672784106e-05,8.455778954963613e-06
LT2,15.84,0.003857882666100868,-0.00010322724189604885,-32.05,1.2419999999999998,0.0038600642252775595,-0.00010760352391033559,-3.064928066165088e-07
LT1,19.8,0.005103760219658142,-6.951129048276059e-05,0.0,0.0,0.005051458626927586,0.00011737169343998015,7.579476732836888e-06
LT2,19.8,0.004765578102302904,-0.00010708879811807418,-32.05,1.825,0.004758729443438807,-9.23731362869384e-05,1.066740365338468e-06
