bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,1.1781990155127674e-11,-3.284426673287999e-12,0.0,0.0,1.1037015450304402e-11,-2.9499644066713657e-12,8.557290250290923e-14
LT2,3.96,1.464763484464707e-11,2.3035928510830746e-12,-31.679999999999996,0.0,1.612965965224388e-11,-3.8892737852304153e-13,-1.8394731553820607e-13
LT1,7.92,0.00013135193224950045,2.6445129741929245e-08,0.0,0.0,0.00013135192993352643,2.6451855367236032e-08,3.06958683163863e-13
LT2,7.92,0.0001313519335277289,2.644640345648757e-08,-32.05,0.07599999999999985,0.00013135193386052318,2.644579999598257e-08,-4.154791262471123e-14
LT1,11.88,0.0003142017415101572,3.2619209235915523e-09,0.0,0.0,0.000314201741730798,3.261253674868171e-09,-3.078769029228373e-14
LT2,11.88,0.0003142017416365037,3.2629982171982284e-09,-32.05,0.6589999999999998,0.00031420174189284285,3.2624969318299485e-09,-3.45121218866867e-14
LT1,15.84,0.00044776876907924254,2.6264836543224127e-07,0.0,0.0,0.00044776876940651,2.626473530447034e-07,-4.244977828190143e-14
LT2,15.84,0.00044776876914651094,2.626483904778355e-07,-32.05,1.2419999999999998,0.0004477687691539425,2.6264837470378286e-07,-1.0742451952998406e-15
LT1,19.8,0.0005561814989597021,5.948146646588377e-06,0.0,0.0,0.0005561794555713038,5.954904844752614e-06,2.62997673421397e-10
LT2,19.8,0.0005229124313290073,5.320627854007357e-07,-32.05,1.825,0.0005229124252587074,5.320756684106247e-07,9.137004567725515e-13
