bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,2.791465808749638e-11,3.411030750576784e-11,0.0,0.0,3.5424376204740525e-11,2.542098018402365e-11,-9.069141331100852e-13
LT2,3.96,0.0004147106480862659,-4.919522706065002e-07,-31.679999999999996,0.0,0.0004147106445622605,-4.919462962741832e-07,4.255484009983258e-13
LT1,7.92,0.0008076954550790066,-3.928775355946259e-06,0.0,0.0,0.0008076000537894334,-3.6687538907108535e-06,1.2105555348741136e-08
LT2,7.92,0.0013647378626147695,-4.304438541743654e-06,-32.05,0.07599999999999985,0.0013647378748994732,-4.304459688844955e-06,-1.4938710662811506e-12
LT1,11.88,0.00256993927064843,2.101257037720343e-06,0.0,0.0,0.0025610543167147544,2.6941752255297857e-05,1.1896136661950622e-06
LT2,11.88,0.0027334857113999996,-1.13056932108962e-05,-32.05,0.6589999999999998,0.002733485739588731,-1.1305745434813058e-05,-3.689116173145533e-12
LT1,15.84,0.004047614783124416,-1.739923868076286e-05,0.0,0.0,0.004047614903793697,-1.7399619782116763e-05,-1.6006270710322303e-11
LT2,15.84,0.004047614766729906,-1.7399194873867027e-05,-32.05,1.2419999999999998,0.00404761477666818,-1.7399214972156494e-05,-1.4018880089238232e-12
LT1,19.8,0.0052099878476416,-7.235870012825722e-05,0.0,0.0,0.00520997748232961,-7.232211435255217e-05,1.4746012697824911e-09
LT2,19.8,0.004895610339549489,-2.0147548740713383e-05,-32.05,1.825,0.004895610347028527,-2.0147564795475466e-05,-1.1618721173771471e-12
