bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,-6.217180499480315e-11,3.377159494731538e-10,0.0,0.0,3.967650333740016e-12,2.5774021706062184e-10,-8.016073057245827e-12
LT2,3.96,8.913896499834971e-05,0.00023635108647507535,-31.679999999999996,0.0,-3.190450995591182e-05,0.0004391447201669591,1.4550023756627895e-05
LT1,7.92,-0.00026908115050733187,0.001239881844759276,0.0,0.0,-0.0001031893474312843,0.0007917119620690381,-2.0924263358957026e-05
LT2,7.92,0.0002969063140647032,0.0004270137008121981,-32.05,0.07599999999999985,-0.00010062224542995633,0.001105417409700683,4.813270466174674e-05
LT1,11.88,0.0006012256710173009,0.0028712492941459916,0.0,0.0,-5.006347005714201e-06,0.00454651150776228,8.06832845999005e-05
LT2,11.88,0.0005495632629884842,0.0004898671467468163,-32.05,0.6589999999999998,-0.00015518447844830685,0.0017838174335797086,9.180387453548068e-05
LT1,15.84,0.0014549120839009166,0.004695729175140382,0.0,0.0,0.00017037877071548807,0.008763005091621201,0.00017086042148158995
LT2,15.84,0.0007195525135704683,0.00048267717545140827,-32.05,1.2419999999999998,-0.00021099820487381182,0.0023493936120346486,0.00013073544116621894
LT1,19.8,0.0016768833622046234,0.006576488694637899,0.0,0.0,0.00024719141652074445,0.011685034781870433,0.00020718904093917502
LT2,19.8,0.0008827441695281263,0.0005011863837206671,-32.05,1.825,-7.922551681780203e-05,0.0025681634192218326,0.00014983545173153498
