bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,-1.718492753120945e-12,1.1683596873766884e-11,0.0,0.0,2.2259709421479717e-14,1.0902072332771169e-11,-1.999547632884792e-13
LT2,3.96,-1.9382297413228997e-08,0.00014556365427895797,-31.679999999999996,0.0,-1.9214806773472498e-08,0.0001455633499844998,-2.0788756978328837e-11
LT1,7.92,-5.201404487485227e-07,0.00010631357449303018,0.0,0.0,-4.837491448274745e-07,0.00010620789356942079,-4.823295331951875e-09
LT2,7.92,-7.446779617265208e-08,0.0003321982669741788,-32.05,0.07599999999999985,-7.442996886371967e-08,0.0003321981983813958,-4.7225741041545385e-12
LT1,11.88,2.4109470143136592e-05,0.00035173767557489737,0.0,0.0,1.2419721078593588e-06,0.0004208921979789071,3.1908761208200317e-06
LT2,11.88,-2.0625130821268896e-07,0.0005040325582993098,-32.05,0.6589999999999998,-2.062796012325794e-07,0.0005040326136278717,3.809219641148102e-12
LT1,15.84,-6.857732536834648e-06,0.0006444662008709256,0.0,0.0,-6.858938215689769e-06,0.0006444699305858584,1.563883058966294e-10
LT2,15.84,-6.857473601982679e-06,0.0006444652418645467,-32.05,1.2419999999999998,-6.8576829702630735e-06,0.0006444656862643437,3.026453359711589e-11
LT1,19.8,-9.944101678790597e-06,0.0009865013773019153,0.0,0.0,-9.997625605226233e-06,0.000986678399595708,6.888885214642843e-09
LT2,19.8,-1.3542452034588602e-05,0.0006860638998094112,-32.05,1.825,-1.3542532996123088e-05,0.0006860640716342411,1.218631569136833e-11
