wall_id,segmento,z_min_m,z_max_m,identificacion_plano,confianza,length_m,thickness_m,vertical_diameter_mm,vertical_spacing_mm,horizontal_diameter_mm,horizontal_spacing_mm,boundary_bars_each_end,boundary_diameter_mm,boundary_bars_left,boundary_diameter_left_mm,boundary_bars_right,boundary_diameter_right_mm,As_m2,separacion_real_vertical_mm,rho_vertical,P_compresion_max_kN,M_P0_kNm,P_traccion_kN,nota,criterio_asignacion
1,1,0.0,3.96,M-LT2-1-A'-retorno,alta,2.915,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,187.66666666666669,0.00418160531592741,43909.51456717731,4335.026877898143,-3071.7236329739562,"Registro LT2 1/3, subterráneo",Retorno de 2.915 m y espesor 0.60 m junto al eje LT2/1
1,2,3.96,7.92,M-LT2-1-A'-retorno,alta,2.915,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,187.66666666666669,0.00418160531592741,43909.51456717731,4335.026877898143,-3071.7236329739562,"Registro LT2 1/3, piso 1",Retorno de 2.915 m y espesor 0.60 m junto al eje LT2/1
1,3,7.92,11.88,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,187.66666666666669,0.0027410350997015575,43122.90877556382,2854.382027594047,-2013.50956353877,"Registro LT2 1/3, piso 2",Retorno de 2.915 m y espesor 0.60 m junto al eje LT2/1
1,4,11.88,19.8,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,187.66666666666669,0.0027410350997015575,43122.90877556382,2854.382027594047,-2013.50956353877,"Registro LT2 1/3, pisos 3 y 4",Retorno de 2.915 m y espesor 0.60 m junto al eje LT2/1
2,1,0.0,3.96,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,100,3,28,3,28,3,28,0.005956459671206248,194.4444444444442,0.010732359767939197,15068.606709350575,2190.3687819258553,-2501.713061906624,"Registro LT2 1/3, subterráneo",Tramo de 1.85 m y espesor 0.30 m junto al eje LT2/1
2,2,3.96,7.92,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,200,3,28,3,28,3,28,0.005956459671206248,194.4444444444442,0.010732359767939197,15068.606709350575,2190.3687819258553,-2501.713061906624,"Registro LT2 1/3, piso 1",Tramo de 1.85 m y espesor 0.30 m junto al eje LT2/1
2,3,7.92,11.88,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,194.4444444444442,0.006939806474416378,14411.467207628584,1423.483402715287,-1617.6688891864562,"Registro LT2 1/3, piso 2",Tramo de 1.85 m y espesor 0.30 m junto al eje LT2/1
2,4,11.88,19.8,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,194.4444444444442,0.006939806474416378,14411.467207628584,1423.483402715287,-1617.6688891864562,"Registro LT2 1/3, pisos 3 y 4",Tramo de 1.85 m y espesor 0.30 m junto al eje LT2/1
3,1,0.0,3.96,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,188.0000000000001,0.004174445032852189,43980.91456717734,4342.70618698058,-3071.7236329739562,"Registro LT2 1/3, subterráneo",Retorno de 2.920 m y espesor 0.60 m junto al eje LT2/3
3,2,3.96,7.92,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,188.0000000000001,0.004174445032852189,43980.91456717734,4342.70618698058,-3071.7236329739562,"Registro LT2 1/3, piso 1",Retorno de 2.920 m y espesor 0.60 m junto al eje LT2/3
3,3,7.92,11.88,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,188.0000000000001,0.002736341546448642,43194.30877556384,2859.4158015028956,-2013.50956353877,"Registro LT2 1/3, piso 2",Retorno de 2.920 m y espesor 0.60 m junto al eje LT2/3
