bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,-1.270865832408564e-13,1.065345399022622e-12,0.0,0.0,7.203931676516778e-14,8.349412618265631e-13,-2.40475195159523e-14
LT2,3.96,-2.5923789142863344e-13,7.260345497310993e-13,-31.679999999999996,0.0,-3.33364410887783e-13,8.517030452813221e-13,8.95129773498496e-15
LT1,7.92,-1.4502382622453304e-06,-1.269541199760029e-07,0.0,0.0,-1.4502384613236178e-06,-1.2695357737717426e-07,2.5261222746671698e-14
LT2,7.92,-1.4502378989803552e-06,-1.2695511540838138e-07,-32.05,0.07599999999999985,-1.4502381162847184e-06,-1.2695474133688922e-07,2.64251147658269e-14
LT1,11.88,1.4539765449549166e-06,-4.4899144149754814e-07,0.0,0.0,1.4539764797170836e-06,-4.4899125910604806e-07,8.734746195902396e-15
LT2,11.88,1.4539750204651896e-06,-4.489842381158435e-07,-32.05,0.6589999999999998,1.4539767894004153e-06,-4.489875153376831e-07,-2.315041233754621e-13
LT1,15.84,1.0855499919644706e-05,4.974258574367178e-06,0.0,0.0,1.0855499403447927e-05,4.974260204635377e-06,6.847132360884664e-14
LT2,15.84,1.0855501201086912e-05,4.974253883238145e-06,-32.05,1.2419999999999998,1.0855500105089551e-05,4.974256099686628e-06,1.546008458005446e-13
LT1,19.8,5.060698119355127e-05,1.4381975368012848e-05,0.0,0.0,5.0620126647407005e-05,1.433557670420571e-05,-1.8701128306750934e-09
LT2,19.8,3.933703469224637e-05,6.5606287876194825e-06,-32.05,1.825,3.933703271273134e-05,6.56063303691496e-06,3.0751859844971317e-13
