bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,4.9910338967273065e-11,-8.045676449534676e-11,0.0,0.0,3.520542259526646e-11,-6.34420337690581e-11,1.7758451483487451e-12
LT2,3.96,8.750126442755838e-11,-1.9851460341459747e-10,-31.679999999999996,0.0,5.713157199707269e-11,-1.4702812346236702e-10,3.66735361445116e-12
LT1,7.92,0.0004026957564594234,-9.677169907864008e-05,0.0,0.0,0.0004026957438035955,-9.677166458448462e-05,1.6059093726079724e-12
LT2,7.92,0.0004026957681767901,-9.677172904421916e-05,-32.05,0.07599999999999985,0.0004026957607561875,-9.677171627026544e-05,9.023761502430373e-13
LT1,11.88,0.0009913762661801953,-0.00020826792677431196,0.0,0.0,0.0009913762678741857,-0.000208267931510359,-2.2680974085029572e-13
LT2,11.88,0.0009913762583938705,-0.00020826788437564543,-32.05,0.6589999999999998,0.0009913762687971477,-0.0002082679036493006,-1.3614978955881232e-12
LT1,15.84,0.001471446796127601,-0.0002619394234512333,0.0,0.0,0.0014714467971906197,-0.0002619394268084909,-1.4100493990760707e-13
LT2,15.84,0.0014714467948760551,-0.0002619394100273069,-32.05,1.2419999999999998,0.0014714467976347347,-0.00026193941560621756,-3.891379902332167e-13
LT1,19.8,0.0020173182537635676,-0.0003429473186869062,0.0,0.0,0.0020174343844105427,-0.00034335721756950416,-1.652110420274373e-08
LT2,19.8,0.0018873113216631926,-0.00027607993345405357,-32.05,1.825,0.0018873112941220791,-0.0002760798743333463,4.278525022898676e-12
