nodo,x_m,y_m,z_m
1,0.0,0.0,0.0
101,10.0,0.0,0.0
201,20.0,0.0,0.0
1001,0.0,7.25,0.0
1101,10.0,7.25,0.0
1201,20.0,7.25,0.0
2001,0.0,16.15,0.0
2101,10.0,16.15,0.0
2201,20.0,16.15,0.0
100301,30.0,0.0,3.96
100401,40.0,0.0,3.96
100451,45.0,0.0,3.96
101301,30.0,7.25,3.96
101401,40.0,7.25,3.96
101451,45.0,7.25,3.96
102301,30.0,16.15,3.96
102401,40.0,16.15,3.96
102451,45.0,16.15,3.96
700001,-20.8,16.15,0.0
700002,-10.8,16.15,0.0
700003,-0.8,16.15,0.0
700004,-28.3,7.25,0.0
700005,-20.8,7.25,0.0
700006,-10.8,7.25,0.0
700007,-20.8,0.0,0.0
700008,-10.8,0.0,0.0
3000000,-32.05,-1.09,0.0
3000001,-32.05,0.0,0.0
3000002,-32.05,0.36749999999999994,0.0
3000003,-32.05,1.825,0.0
3000018,-30.2,0.0,0.0
3000023,-32.05,14.325,0.0
3000024,-32.05,15.785,0.0
3000025,-32.05,16.15,0.0
3000026,-32.05,17.245,0.0
3000042,-30.2,16.15,0.0
3000047,-0.575,-0.35,0.0
3000048,-0.575,1.6374999999999997,0.0
3000049,-0.575,3.6249999999999996,0.0
3000050,-0.575,5.6125,0.0
3000051,-0.575,6.545,0.0
3000052,-0.575,7.6,0.0
3000083,-0.575,9.65,0.0
3000084,-0.575,11.275,0.0
3000085,-0.575,12.899999999999999,0.0
3000086,-0.575,13.045,0.0
3000087,-0.575,14.524999999999999,0.0
3000088,-0.575,16.15,0.0
3000120,-1.8975000000000002,13.045,0.0
3000121,-3.2200000000000006,13.045,0.0
3000132,-3.22,10.1,0.0
3000133,-3.22,11.5725,0.0
3000173,3.6,10.0,0.0
3000174,3.6,11.125,0.0
3000175,3.6,12.25,0.0
3000186,6.4,10.0,0.0
3000187,6.4,11.125,0.0
3000188,6.4,12.25,0.0
3000199,-0.25,0.0,0.0
3000200,-0.25,1.8125,0.0
3000201,-0.25,3.625,0.0
3000202,-0.25,5.4375,0.0
3000203,-0.25,7.25,0.0
3000219,3.3,2.305,0.0
3000220,5.0,2.305,0.0
3000221,6.7,2.305,0.0
3000237,3.3,3.885,0.0
3000243,6.7,3.885,0.0
3000249,5.0,12.25,0.0
3000251,-0.25,16.4,0.0
3000252,1.393333333333333,16.4,0.0
3000253,3.036666666666666,16.4,0.0
3000254,4.68,16.4,0.0
3000259,6.48,16.4,0.0
3000260,8.365,16.4,0.0
3000261,10.25,16.4,0.0
3000265,10.25,-0.25,0.0
3000266,10.25,1.5999999999999996,0.0
3000267,10.25,3.4499999999999993,0.0
3000268,10.25,5.299999999999999,0.0
3000269,10.25,7.149999999999999,0.0
3000270,10.25,9.0,0.0
3000271,10.25,10.849999999999998,0.0
3000272,10.25,12.7,0.0
3000273,10.25,14.549999999999997,0.0
3000283,-0.25,-0.25,0.0
3000284,1.5,-0.25,0.0
3000285,3.25,-0.25,0.0
3000286,5.0,-0.25,0.0
3000287,6.75,-0.25,0.0
3000288,8.5,-0.25,0.0
3000295,-0.25,1.5999999999999996,0.0
3000296,-0.25,3.4499999999999993,0.0
3000297,-0.25,5.299999999999999,0.0
3000298,-0.25,7.149999999999999,0.0
3000299,-0.25,9.0,0.0
3000300,-0.25,10.849999999999998,0.0
3000301,-0.25,12.249999999999998,0.0
3000302,-0.25,12.7,0.0
3000303,-0.25,14.549999999999997,0.0
3000304,-0.25,16.15,0.0
