caso,elemento,tipo,eje,x_m,y_m,z_inferior_m,z_superior_m,nodo_inferior,nodo_superior,elementos_superiores,elementos_inferiores,P_compresion_kN,P_superior_kN,aporte_neto_nudo_kN,continuidad_nodal
G,1,COLUMN,E,0.0,0.0,0.0,3.96,1,100001,18,,523.4605130120761,419.6917665684252,103.76874644365097,OK
G,2,COLUMN,F,10.0,0.0,0.0,3.96,101,100101,19,,965.0837773555993,2684.536018562222,-1719.4522412066228,OK
G,3,COLUMN,G,20.0,0.0,0.0,3.96,201,100201,20,,3143.087463078129,3095.5154039281288,47.572059150000314,OK
G,4,COLUMN,E,0.0,7.25,0.0,3.96,1001,101001,24,,563.5907533133186,414.1031657562828,149.4875875570358,OK
G,5,COLUMN,F,10.0,7.25,0.0,3.96,1101,101101,25,,3520.499234807098,3129.623918202128,390.87531660497007,OK
G,6,COLUMN,G,20.0,7.25,0.0,3.96,1201,101201,26,,3672.9309303205764,3625.358871170576,47.572059150000314,OK
G,7,COLUMN,E,0.0,16.15,0.0,3.96,2001,102001,30,,743.1656196382071,1164.8933887733342,-421.7277691351271,OK
G,8,COLUMN,F,10.0,16.15,0.0,3.96,2101,102101,31,,954.3322205182972,2261.464568509631,-1307.132347991334,OK
G,9,COLUMN,G,20.0,16.15,0.0,3.96,2201,102201,32,,2340.9178675273815,2293.345808377381,47.572059150000314,OK
G,10,COLUMN,1B,-20.8,16.15,0.0,3.96,700001,701001,36,,3019.7464773772363,2388.704991764297,631.0414856129391,OK
G,11,COLUMN,1C,-10.8,16.15,0.0,3.96,700002,701002,37,,2947.4891370757223,2350.2750011684284,597.2141359072939,OK
G,12,COLUMN,1D,-0.8,16.15,0.0,3.96,700003,701003,38,,477.62354083720504,443.88568578009733,33.73785505710771,OK
G,13,COLUMN,2A,-28.3,7.25,0.0,3.96,700004,701004,39,,3641.3892981208382,2873.4465960827765,767.9427020380617,OK
G,14,COLUMN,2B,-20.8,7.25,0.0,3.96,700005,701005,40,,4124.648796570784,3269.838518982703,854.8102775880807,OK
G,15,COLUMN,2C,-10.8,7.25,0.0,3.96,700006,701006,41,,4510.417963979868,3567.445032868979,942.9729311108886,OK
G,16,COLUMN,3B,-20.8,0.0,0.0,3.96,700007,701007,42,,2338.4953091415173,1859.7543916206778,478.7409175208395,OK
G,17,COLUMN,3C,-10.8,0.0,0.0,3.96,700008,701008,43,,2291.094725207344,1830.249527172447,460.84519803489684,OK
G,18,COLUMN,E,0.0,0.0,3.96,7.92,100001,200001,44,1,419.6917665684252,310.4049680146546,109.28679855377055,OK
G,19,COLUMN,F,10.0,0.0,3.96,7.92,100101,200101,45,2,2684.536018562222,1943.8257475259325,740.7102710362897,OK
G,20,COLUMN,G,20.0,0.0,3.96,7.92,100201,200201,46,3,3095.5154039281288,2512.583360087953,582.9320438401755,OK
G,21,COLUMN,H,30.0,0.0,3.96,7.92,100301,200301,47,,2849.182624774823,2397.5434754119633,451.6391493628598,OK
G,22,COLUMN,I,40.0,0.0,3.96,7.92,100401,200401,48,,1114.7983040890658,1305.1561775694704,-190.35787348040458,OK
G,23,COLUMN,I_prima,45.0,0.0,3.96,7.92,100451,200451,49,,1476.0007850451134,1307.6982228309616,168.30256221415175,OK
G,24,COLUMN,E,0.0,7.25,3.96,7.92,101001,201001,50,4,414.1031657562828,331.04905180153094,83.05411395475187,OK
G,25,COLUMN,F,10.0,7.25,3.96,7.92,101101,201101,51,5,3129.623918202128,2368.2819698403136,761.3419483618145,OK
G,26,COLUMN,G,20.0,7.25,3.96,7.92,101201,201201,52,6,3625.358871170576,2704.2273413024404,921.1315298681357,OK
G,27,COLUMN,H,30.0,7.25,3.96,7.92,101301,201301,53,,3690.932560390187,2750.7428418139834,940.1897185762036,OK
G,28,COLUMN,I,40.0,7.25,3.96,7.92,101401,201401,54,,2679.6113150467527,1969.5576031396458,710.0537119071068,OK
G,29,COLUMN,I_prima,45.0,7.25,3.96,7.92,101451,201451,55,,2305.7714599969995,2030.4185719234695,275.35288807353004,OK
G,30,COLUMN,E,0.0,16.15,3.96,7.92,102001,202001,56,7,1164.8933887733342,561.4196316908719,603.4737570824623,OK
G,31,COLUMN,F,10.0,16.15,3.96,7.92,102101,202101,57,8,2261.464568509631,1692.7090432049176,568.7555253047135,OK
G,32,COLUMN,G,20.0,16.15,3.96,7.92,102201,202201,58,9,2293.345808377381,1716.1309170010504,577.2148913763308,OK
