piso,bloque,z_m,nodo,x_m,y_m,G_kN,Q_kN,peso_sismico_kN,masa_t
1,LT1,3.96,100001,0.0,0.0,262.90511265000004,44.23748267025001,285.023853985125,29.064344499408566
1,LT1,3.96,100101,10.0,0.0,262.94032515,44.83047841650001,285.35556435825,29.098169543957415
1,LT1,3.96,100201,20.0,0.0,47.57205915,-0.0,47.57205915,4.851
1,LT1,3.96,100301,30.0,0.0,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,100401,40.0,0.0,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,100451,45.0,0.0,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,101001,0.0,7.25,417.92372165,127.65836620374996,481.752904751875,49.12512476246986
1,LT1,3.96,101101,10.0,7.25,418.54273615,121.20099349999998,479.1432329,48.85901229267895
1,LT1,3.96,101201,20.0,7.25,47.57205915,-0.0,47.57205915,4.851
1,LT1,3.96,101301,30.0,7.25,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,101401,40.0,7.25,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,101451,45.0,7.25,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,102001,0.0,16.15,313.0042421499999,84.31267337499997,355.1605788374999,36.21630004512243
1,LT1,3.96,102101,10.0,16.15,311.6500051499999,77.05697820624998,350.1784942531249,35.708268802610974
1,LT1,3.96,102201,20.0,16.15,47.57205915,-0.0,47.57205915,4.851
1,LT1,3.96,102301,30.0,16.15,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,102401,40.0,16.15,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,102451,45.0,16.15,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,609002,-0.25,12.25,82.12641227187498,10.004482492445002,87.12865351809748,8.88465006073404
1,LT1,3.96,612002,-0.25,1.45,51.385991,6.134672340312499,54.45332717015625,5.552694056599986
1,LT1,3.96,900001,-0.25,0.0,106.23677583125,28.320685660625003,120.3971186615625,12.277089389502278
1,LT1,3.96,900002,-0.25,7.25,172.08044383125002,37.660600578125,190.91074412031253,19.46747810111634
1,LT1,3.96,900004,-0.25,16.15,123.52477723749999,33.1562547203825,140.10290459769124,14.286520330356568
1,LT1,3.96,3000144,1.4125,12.25,16.140520068750003,-0.0,16.140520068750003,1.6458750000000004
1,LT1,3.96,3000145,3.075,12.25,10.618763203124999,-0.0,10.618763203124999,1.0828125
1,LT1,3.96,3000146,3.5999999999999996,12.25,31.249503140625002,-0.0,31.249503140625002,3.1865625000000004
1,LT1,3.96,3000147,4.737500000000001,12.25,13.592016900000003,-0.0,13.592016900000003,1.3860000000000003
1,LT1,3.96,3000148,6.4,12.25,31.249503140625002,-0.0,31.249503140625002,3.1865625000000004
1,LT1,3.96,3000176,3.6,10.0,16.38323465625,-0.0,16.38323465625,1.670625
1,LT1,3.96,3000177,3.6,11.125,32.7664693125,-0.0,32.7664693125,3.34125
1,LT1,3.96,3000189,6.4,10.0,16.38323465625,-0.0,16.38323465625,1.670625
1,LT1,3.96,3000190,6.4,11.125,32.7664693125,-0.0,32.7664693125,3.34125
1,LT1,3.96,3000204,-0.25,1.8125,35.19361518750001,-0.0,35.19361518750001,3.588750000000001
1,LT1,3.96,3000205,-0.25,3.625,35.19361518750001,-0.0,35.19361518750001,3.588750000000001
1,LT1,3.96,3000206,-0.25,5.4375,35.19361518750001,-0.0,35.19361518750001,3.588750000000001
1,LT1,3.96,3000222,3.3,2.305,35.679044362499994,-0.0,35.679044362499994,3.6382499999999998
1,LT1,3.96,3000223,5.0,2.305,33.009183900000004,-0.0,33.009183900000004,3.3660000000000005
1,LT1,3.96,3000224,6.7,2.305,35.679044362499994,-0.0,35.679044362499994,3.6382499999999998
1,LT1,3.96,3000238,3.3,3.885,19.174452412499996,-0.0,19.174452412499996,1.9552499999999997
1,LT1,3.96,3000244,6.7,3.885,19.174452412499996,-0.0,19.174452412499996,1.9552499999999997
1,LT1,3.96,3000250,5.0,12.25,13.592016900000003,-0.0,13.592016900000003,1.3860000000000003
1,LT1,3.96,3000255,-0.25,16.4,9.190792380000008,-0.0,9.190792380000008,0.9372000000000009
1,LT1,3.96,3000256,1.393333333333333,16.4,15.954438885,-0.0,15.954438885,1.6269
1,LT1,3.96,3000257,3.036666666666666,16.4,15.954438885000002,-0.0,15.954438885000002,1.6269000000000002
1,LT1,3.96,3000258,4.68,16.4,7.977219442500001,-0.0,7.977219442500001,0.8134500000000001
1,LT1,3.96,3000262,6.48,16.4,9.15033994875,-0.0,9.15033994875,0.9330750000000001
1,LT1,3.96,3000263,8.365,16.4,18.3006798975,-0.0,18.3006798975,1.8661500000000002
1,LT1,3.96,3000264,10.25,16.4,22.620999555000004,-0.0,22.620999555000004,2.3067000000000006
1,LT1,3.96,3000274,10.25,-0.25,26.213175449999994,-0.0,26.213175449999994,2.6729999999999996
1,LT1,3.96,3000275,10.25,1.5999999999999996,26.941319212499995,-0.0,26.941319212499995,2.7472499999999997
1,LT1,3.96,3000276,10.25,3.4499999999999993,26.941319212499995,-0.0,26.941319212499995,2.7472499999999997
1,LT1,3.96,3000277,10.25,5.299999999999999,26.941319212499995,-0.0,26.941319212499995,2.7472499999999997
1,LT1,3.96,3000278,10.25,7.149999999999999,26.941319212500005,-0.0,26.941319212500005,2.7472500000000006
1,LT1,3.96,3000279,10.25,9.0,26.941319212499998,-0.0,26.941319212499998,2.7472499999999997
1,LT1,3.96,3000280,10.25,10.849999999999998,26.941319212499998,-0.0,26.941319212499998,2.7472499999999997
1,LT1,3.96,3000281,10.25,12.7,26.941319212499998,-0.0,26.941319212499998,2.7472499999999997
1,LT1,3.96,3000282,10.25,14.549999999999997,26.941319212499998,-0.0,26.941319212499998,2.7472499999999997
1,LT1,3.96,3000289,-0.25,-0.25,13.95608878125,-0.0,13.95608878125,1.423125
1,LT1,3.96,3000290,1.5,-0.25,25.485031687499998,-0.0,25.485031687499998,2.59875
1,LT1,3.96,3000291,3.25,-0.25,25.485031687499998,-0.0,25.485031687499998,2.59875
1,LT1,3.96,3000292,5.0,-0.25,25.485031687499998,-0.0,25.485031687499998,2.59875
1,LT1,3.96,3000293,6.75,-0.25,25.485031687500005,-0.0,25.485031687500005,2.598750000000001
1,LT1,3.96,3000294,8.5,-0.25,25.485031687500005,-0.0,25.485031687500005,2.598750000000001
1,LT1,3.96,3000305,-0.25,1.5999999999999996,16.7473065375,-0.0,16.7473065375,1.7077499999999999
1,LT1,3.96,3000306,-0.25,3.4499999999999993,17.960879475,-0.0,17.960879475,1.8315
1,LT1,3.96,3000307,-0.25,5.299999999999999,17.960879475,-0.0,17.960879475,1.8315
1,LT1,3.96,3000308,-0.25,7.149999999999999,9.465868912500001,-0.0,9.465868912500001,0.9652500000000002
1,LT1,3.96,3000309,-0.25,9.0,17.4754503,-0.0,17.4754503,1.782
1,LT1,3.96,3000310,-0.25,10.849999999999998,15.776448187499994,-0.0,15.776448187499994,1.6087499999999995
1,LT1,3.96,3000311,-0.25,12.7,11.164871024999991,-0.0,11.164871024999991,1.1384999999999992
1,LT1,3.96,3000312,-0.25,14.549999999999997,16.74730653749999,-0.0,16.74730653749999,1.7077499999999992
1,LT1,3.96,3000313,30.0,16.4,13.652695546875,-0.0,13.652695546875,1.3921875000000001
1,LT1,3.96,3000314,31.875,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
1,LT1,3.96,3000315,33.75,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
1,LT1,3.96,3000316,35.625,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
1,LT1,3.96,3000317,37.5,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
1,LT1,3.96,3000318,39.375,16.4,19.295809706249983,-0.0,19.295809706249983,1.9676249999999984
1,LT1,3.96,3000319,40.15,16.4,26.921092996875004,-0.0,26.921092996875004,2.7451875000000006
