panel_id,muro_origen,piso,z_inferior_m,z_superior_m,altura_m,longitud_m,espesor_m,area_elevacion_m2
101,1,1,0.0,3.96,3.96,2.915,0.6,11.5434
102,1,2,3.96,7.92,3.96,2.915,0.6,11.5434
103,1,3,7.92,11.88,3.960000000000001,2.915,0.6,11.543400000000002
104,1,4,11.88,15.84,3.959999999999999,2.915,0.6,11.543399999999998
105,1,5,15.84,19.8,3.960000000000001,2.915,0.6,11.543400000000002
201,2,1,0.0,3.96,3.96,1.8499999999999979,0.3,7.325999999999992
202,2,2,3.96,7.92,3.96,1.8499999999999979,0.3,7.325999999999992
203,2,3,7.92,11.88,3.960000000000001,1.8499999999999979,0.3,7.325999999999993
204,2,4,11.88,15.84,3.959999999999999,1.8499999999999979,0.3,7.32599999999999
205,2,5,15.84,19.8,3.960000000000001,1.8499999999999979,0.3,7.325999999999993
301,3,1,0.0,3.96,3.96,2.9200000000000017,0.6,11.563200000000007
302,3,2,3.96,7.92,3.96,2.9200000000000017,0.6,11.563200000000007
303,3,3,7.92,11.88,3.960000000000001,2.9200000000000017,0.6,11.563200000000009
304,3,4,11.88,15.84,3.959999999999999,2.9200000000000017,0.6,11.563200000000004
305,3,5,15.84,19.8,3.960000000000001,2.9200000000000017,0.6,11.563200000000009
401,4,1,0.0,3.96,3.96,1.8499999999999979,0.3,7.325999999999992
402,4,2,3.96,7.92,3.96,1.8499999999999979,0.3,7.325999999999992
403,4,3,7.92,11.88,3.960000000000001,1.8499999999999979,0.3,7.325999999999993
404,4,4,11.88,15.84,3.959999999999999,1.8499999999999979,0.3,7.32599999999999
405,4,5,15.84,19.8,3.960000000000001,1.8499999999999979,0.3,7.325999999999993
501,5,1,0.0,3.96,3.96,7.949999999999999,0.25,31.481999999999996
502,5,2,3.96,7.92,3.96,7.949999999999999,0.25,31.481999999999996
503,5,3,7.92,11.88,3.960000000000001,7.949999999999999,0.25,31.482000000000003
504,5,4,11.88,15.84,3.959999999999999,7.949999999999999,0.25,31.48199999999999
