caso,panel_id,source_wall_id,floor,z_cut_m,P_compresion_kN,M_principal_kNm,V_en_plano_kN,V_fuera_plano_kN,M_vertical_kNm,shells_corte,terminos_nodales
G,101,1,1,0.0,2300.205190430325,42.2805196598224,32.03069747287367,-51.23659216091458,-5.540373848589297e-08,1,2
G,102,1,2,3.96,1840.8645505291265,126.08996817460275,58.758869874927626,-106.23102215071191,-1.1437919056334067e-08,1,2
G,103,1,3,7.92,1376.5461319496817,114.72597517450504,64.18439674204839,-62.764652339154715,8.763774275166725e-07,1,2
G,104,1,4,11.88,909.3938437264594,-67.72339875297803,-38.23956431003961,-91.60850256390871,-1.3451119542651213e-06,1,2
G,105,1,5,15.84,438.659552468052,87.49119497245692,56.2758199853445,3.1380024648892313,-1.7567647250249507e-06,1,2
G,201,2,1,0.0,729.9107786002721,12.876820790668376,9.755167312055278,16.94019258141484,-1.0442333930882342e-07,1,2
G,202,2,2,3.96,584.1508460810171,51.33629152912812,25.08589119665129,28.07214278552658,-2.2033220048456315e-07,1,2
G,203,2,3,7.92,436.8113823453126,-2.915990399057222,0.2829319936229808,30.47561109829845,-1.1435740177034859e-07,1,2
G,204,2,4,11.88,288.5726639228927,-64.17036049817042,-25.405447237545843,10.908075371266584,-3.490921249849066e-07,1,2
G,205,2,5,15.84,139.19729246669112,-279.9125838972245,-134.2155706103286,38.56851971984131,-3.483758064248832e-07,1,2
G,301,3,1,0.0,2546.0845193300506,-46.167481920394266,-34.9753700460127,-72.32278796556514,-5.5657118025465024e-08,1,2
G,302,3,2,3.96,2028.3856979067982,-109.16298065201477,-52.46510856241497,-134.64524353413674,-1.1499565744088613e-08,1,2
G,303,3,3,7.92,1506.5436438615573,-83.10649040226144,-41.46391611673249,-91.0430859878277,8.804943689710854e-07,1,2
G,304,3,4,11.88,981.4977487862297,-268.69730059678864,-128.97545485355138,-113.81973183159897,-1.35142087742679e-06,1,2
G,305,3,5,15.84,457.6739829951658,-153.9814120820143,-97.49950061191382,-32.62089373547241,-1.1872457150730042e-06,1,2
G,401,4,1,0.0,806.550791929312,18.145098918353654,13.746286352304594,-18.465880855212184,1.0083435775243288e-07,1,2
G,402,4,2,3.96,642.5536911642027,63.687707999655515,30.451907170734245,-30.703781714237792,2.221240347211051e-07,1,2
G,403,4,3,7.92,477.24413645146444,5.966618076331031,5.637294910199699,-25.361453195712883,3.5138482523677794e-07,1,2
G,404,4,4,11.88,310.91966692806636,-53.3842178008413,-21.2136349312582,-36.96294988016555,1.5387472629413423e-07,1,2
G,405,4,5,15.84,144.9823553221368,-270.6594220314723,-127.4178936721684,-42.6708984463713,1.3094935269464258e-07,1,2
G,501,5,1,0.0,2211.687404327369,1.495801362807697,1.1331866458522768,26.96633439052809,-6.09774215121206e-07,4,8
G,502,5,2,3.96,1773.2512412384483,25.12962698360866,12.525837895773677,20.12539731306991,-1.2737841004195616e-07,4,8
G,503,5,3,7.92,1311.5005697904523,43.09947330148714,25.80264928829377,41.0472402255278,9.652295371864739e-06,4,8
G,504,5,4,11.88,540.1866304013921,-168.51689999399633,-84.66235247918158,21.208022157036993,-1.4816914644555368e-05,4,8
G,505,5,5,15.84,96.47904853125013,-53.215589073117464,-13.438280068969293,1.0672649172616906,-1.7931162432649472e-07,4,8
G,601,6,1,0.0,1570.3458820862193,-48.85750699742289,13.806524312761411,0.04845012354386127,-1.049721892358254,3,6
G,602,6,2,3.96,1366.1620667517836,-60.54514776140593,71.92698397189534,0.2138887756189894,1.7164460908358878,3,6
G,603,6,3,7.92,1137.3409376936982,-119.95620874936697,217.9723374264725,-1.4320542278625732,-4.596148850928618,3,6
G,604,6,4,11.88,728.5619320257188,-186.56901254281343,469.53179786057217,2.5564882261298267,7.8076939591011065,3,6
G,705,7,5,15.84,155.47227098459945,-139.9967518079225,26.056200211931206,11.765894162556556,35.14311846245631,3,6
G,801,8,1,0.0,883.0057497852318,8.526837307352253,6.459715313376364,-0.7540359210863377,-1.995537431964678e-07,1,2
G,802,8,2,3.96,707.962192313234,-1.9251229519506978,-2.127628019268599,-4.040070485695777,-7.726296624710471e-08,1,2
G,803,8,3,7.92,523.6104160464074,57.29851445484792,26.513588847795702,-12.208324880708044,2.657725239885167e-07,1,2
G,804,8,4,11.88,215.66696227826702,149.3034270882804,66.34021683381803,11.824661650377333,-5.198738657341551e-07,1,2
G,805,8,5,15.84,45.65596928520989,439.24703933840533,153.0139526800196,-1.719332865376434,5.235178594954304,1,2
G,901,9,1,0.0,819.2980279539973,0.5541270684615256,0.41978403328036507,9.989415820663147,9.661124433790746e-08,1,2
G,902,9,2,3.96,656.8836346592163,9.309025460233443,4.640074505106256,7.455257352988962,-4.922201313206642e-08,1,2
G,903,9,3,7.92,485.8325991923964,15.965776361021028,9.558337435666012,15.205555640739718,4.5707135321038095e-07,1,2
G,904,9,4,11.88,200.10686600010607,-62.42543640267252,-31.362340740668206,7.856298996070672,2.1418981344112353e-07,1,2
G,905,9,5,15.84,-47.98747128668329,-21.757130453196375,-36.01347286427598,12.305788488073002,17.189045274372777,1,2
G,1002,10,2,3.96,1186.6284671461292,3.2267194983609215,3.566157916808649,6.771635896415564,-3.4508592783311087e-07,3,6
G,1003,10,3,7.92,877.6330865508301,-96.03908751382914,-44.439910131617516,20.46260007533524,7.457376050012954e-08,3,6
G,1004,10,4,11.88,361.48337504475643,-250.25027487638977,-111.19407691184666,-19.819534205921833,-6.544935953201048e-07,3,6
G,1005,10,5,15.84,-34.638470390138025,-1550.6609250857837,-467.6768932895686,1.483401268645546,5.004146781822477,3,6
G,1101,11,1,0.0,751.1391046033488,0.5080204076178916,0.384856074713241,9.158378498200761,2.828685197187042e-08,1,2
