bloque,z_m,piso,master,G_kN,Q_kN,peso_sismico_kN,masa_t,CM_x_m,CM_y_m,Gx_kNm,Gy_kNm,Qx_kNm,Qy_kNm,a_g,a_m_s2,F_kN,Mz_EX_master_kNm,Mz_EY_master_kNm
LT1,3.96,1,100001,4404.9969196625,614.5736681636399,4712.283753744319,480.51921438455736,9.5812017968513,8.280517243116533,43948.3089050085,36344.99023521731,2402.065327279527,5350.313284240861,0.2,1.96133,942.4567507488639,-7804.029375467548,9029.868313729652
LT2,3.96,1,601002,7116.527712413749,2413.416691505785,8323.236058166642,848.7338752955028,-17.640862964141593,8.281091932562566,-126263.68331077999,59203.28779713976,-41130.76681907952,19444.39035391572,0.2,1.96133,1664.6472116333284,-13785.096594819526,23370.21032047988
LT1,7.92,2,200001,10918.11921424056,3082.659349228,12459.44888885456,1270.510203673483,21.479515622754562,7.88078587266745,233851.58767606548,86561.06318191013,67542.67876599608,23258.371205194093,0.2,1.96133,2491.889777770912,-19638.049756901437,53524.5854118127
LT2,7.92,2,600003,7029.1025444137495,2344.58304337243,8201.394066099965,836.309449822311,-17.894092051651985,8.299402816317034,-126211.444590135,58587.65027471176,-41090.1115610603,18958.045470408182,0.2,1.96133,1640.2788132199933,-13488.673412178454,23219.635889567748
LT1,11.88,3,300001,10729.30933954056,3191.4987484525,12325.05871376681,1256.8062196332908,20.881144798066224,7.468772582357823,222777.32747081047,80617.08054100313,69168.01635204423,22871.960112657573,0.2,1.96133,2465.0117427533623,-18410.612119466387,51472.267129366526
LT2,11.88,3,600004,7029.10253941375,2344.583036507775,8201.394057667638,836.3094489624528,-17.893786314414243,8.300052781071829,-126209.475122565,58592.25557507027,-41089.0352512929,18959.49596387997,0.2,1.96133,1640.2788115335277,-12533.456974601455,23220.137360007262
LT1,15.84,4,400001,11877.86541551556,2902.2945828751276,13329.012706953125,1359.1810360268926,23.809503212661653,7.538875422021011,282748.6642301902,89298.11645938613,69217.01327523634,22375.299673737085,0.2,1.96133,2665.8025413906253,-20097.153259250932,63471.43417356169
LT2,15.84,4,600005,7083.525241163749,2366.496676023952,8266.773579175726,842.9763047703066,-17.71341295487376,8.331206760522804,-125884.30316774374,59216.96242130933,-41096.94208927134,19310.475018461548,0.2,1.96133,1653.3547158351455,-11720.973429040772,23703.463800040518
LT1,19.8,5,500001,12573.79395106556,4375.0787858627145,14761.333343996917,1505.2370936045356,24.810622677985457,7.029230343813885,310025.11329371587,86764.49225808501,112425.517056314,33992.63999737962,0.2,1.96133,2952.2666687993838,-20752.162451354965,73247.57436437457
LT2,19.8,5,600006,5944.940419206875,971.7371131191851,6430.8089757664675,655.7600175153052,-18.23198866859197,8.262057924227996,-108525.00722058,49017.068765620446,-17442.858310947533,8229.294983614853,0.2,1.96133,1286.1617951532935,-8279.097975330813,17772.1982594523
