z_m,slab_id,receptor,tag,area_m2,q_Q_kN_m2,Q_kN
3.96,1000000,beam,207,0.007889,1.96133,0.015472932370000001
3.96,1000000,beam,359,0.072071,1.96133,0.14135501442999998
3.96,1000000,beam,211,0.07996,1.96133,0.1568279468
3.96,1000000,beam,212,1.545653,1.96133,3.03153559849
3.96,1000000,beam,213,0.0,1.96133,0.0
3.96,1000000,beam,207,0.338986,4.903325,1.66215852845
3.96,1000000,beam,359,3.096679,4.903325,15.184023557675
3.96,1000000,beam,211,3.435665,4.903325,16.846182086125
3.96,1000000,beam,212,2.935597,4.903325,14.394186160024999
3.96,1000000,beam,213,4.48125,4.903325,21.97302515625
3.96,1000001,beam,211,0.07996,1.96133,0.1568279468
3.96,1000001,beam,210,0.07996,1.96133,0.1568279468
3.96,1000001,beam,380,2.887318,1.96133,5.66298341294
3.96,1000001,beam,383,0.0,1.96133,0.0
3.96,1000001,beam,384,0.0,1.96133,0.0
3.96,1000001,beam,211,1.936265,4.903325,9.494136581125
3.96,1000001,beam,210,1.741252,4.903325,8.5379244629
3.96,1000001,beam,380,0.0,4.903325,0.0
3.96,1000001,beam,383,4.181546,4.903325,20.50347904045
3.96,1000001,beam,384,6.492954,4.903325,31.83706367205
3.96,1000001,beam,211,1.4994,2.941995,4.411227303
3.96,1000001,beam,210,1.694413,2.941995,4.984954573935
3.96,1000001,beam,380,7.884557,2.941995,23.196327271215
3.96,1000001,beam,383,0.038145,2.941995,0.112222399275
3.96,1000001,beam,384,0.05923,2.941995,0.17425436384999998
3.96,1000002,beam,210,0.07996,1.96133,0.1568279468
3.96,1000002,beam,209,0.102612,1.96133,0.20125599396
3.96,1000002,beam,371,0.937378,1.96133,1.83850759274
3.96,1000002,beam,381,1.09591,1.96133,2.1494411603
3.96,1000002,beam,382,0.449743,1.96133,0.88209443819
3.96,1000002,beam,385,0.045,1.96133,0.08825985
3.96,1000002,beam,210,3.435665,4.903325,16.846182086125
3.96,1000002,beam,209,0.244263,4.903325,1.197700874475
3.96,1000002,beam,371,2.231372,4.903325,10.9411421119
3.96,1000002,beam,381,2.081417,4.903325,10.205864011525
3.96,1000002,beam,382,0.854179,4.903325,4.188317245175
3.96,1000002,beam,385,4.43625,4.903325,21.75237553125
3.96,1000003,beam,360,0.045,4.903325,0.220649625
3.96,1000003,beam,379,0.045,4.903325,0.220649625
3.96,1000003,beam,213,1.1895,4.903325,5.8325050874999995
3.96,1000003,beam,216,0.0,4.903325,0.0
3.96,1000003,beam,360,3.470625,4.903325,17.017602328125
3.96,1000003,beam,379,3.470625,4.903325,17.017602328125
3.96,1000003,beam,213,3.29175,4.903325,16.14052006875
3.96,1000003,beam,216,4.48125,4.903325,21.97302515625
3.96,1000004,beam,383,0.8055,4.903325,3.9496282875
3.96,1000004,beam,388,0.0,4.903325,0.0
3.96,1000004,beam,379,0.045,4.903325,0.220649625
3.96,1000004,beam,208,0.045,4.903325,0.220649625
3.96,1000004,beam,383,1.422056,4.903325,6.972802736199999
3.96,1000004,beam,388,2.227556,4.903325,10.922431023699998
3.96,1000004,beam,379,3.324319,4.903325,16.300216460675
3.96,1000004,beam,208,3.324319,4.903325,16.300216460675
3.96,1000005,beam,208,2.525625,4.903325,12.383960203124998
3.96,1000005,beam,378,0.0646,4.903325,0.316754795
3.96,1000005,beam,384,4.145387,4.903325,20.326179711775
3.96,1000005,beam,389,3.624887,4.903325,17.773999049274998
3.96,1000005,beam,208,0.99,4.903325,4.85429175
3.96,1000005,beam,378,0.0,4.903325,0.0
3.96,1000005,beam,384,0.0,4.903325,0.0
3.96,1000005,beam,389,0.045,4.903325,0.220649625
3.96,1000005,beam,208,0.0,4.903325,0.0
3.96,1000005,beam,378,3.451025,4.903325,16.921497158125
3.96,1000005,beam,384,1.029613,4.903325,5.048527163224999
3.96,1000005,beam,389,1.505113,4.903325,7.380058200724999
3.96,1000006,beam,378,0.045,4.903325,0.220649625
3.96,1000006,beam,372,0.0,4.903325,0.0
3.96,1000006,beam,385,1.1445,4.903325,5.6118554625
3.96,1000006,beam,390,0.0,4.903325,0.0
3.96,1000006,beam,378,0.0,1.96133,0.0
3.96,1000006,beam,372,1.035,1.96133,2.0299765499999998
3.96,1000006,beam,385,0.045,1.96133,0.08825985
3.96,1000006,beam,390,0.045,1.96133,0.08825985
3.96,1000006,beam,378,3.470625,4.903325,17.017602328125
3.96,1000006,beam,372,2.480625,4.903325,12.163310578124998
3.96,1000006,beam,385,3.29175,4.903325,16.14052006875
3.96,1000006,beam,390,4.43625,4.903325,21.75237553125
3.96,1000007,beam,361,3.515625,4.903325,17.238251953124998
3.96,1000007,beam,366,3.515625,4.903325,17.238251953124998
3.96,1000007,beam,216,5.928718,4.903325,29.07043118735
3.96,1000007,beam,388,4.149407,4.903325,20.345891078275
3.96,1000007,beam,214,10.078125,4.903325,49.416322265625
3.96,1000008,beam,366,1.035,4.903325,5.074941374999999
3.96,1000008,beam,373,0.0,4.903325,0.0
3.96,1000008,beam,389,0.023435,4.903325,0.114909421375
3.96,1000008,beam,390,0.021565,4.903325,0.105740203625
3.96,1000008,beam,386,0.045,4.903325,0.220649625
3.96,1000008,beam,366,2.480625,4.903325,12.163310578124998
3.96,1000008,beam,373,0.0,4.903325,0.0
3.96,1000008,beam,389,1.892896,4.903325,9.281484279199999
3.96,1000008,beam,390,1.741791,4.903325,8.540567355075
3.96,1000008,beam,386,3.634687,4.903325,17.822051634275
3.96,1000008,beam,366,0.0,4.903325,0.0
3.96,1000008,beam,373,2.480625,4.903325,12.163310578124998
3.96,1000008,beam,389,4.919968,4.903325,24.124202093599997
3.96,1000008,beam,390,4.52722,4.903325,22.198431006499998
3.96,1000008,beam,386,9.447187,4.903325,46.32262819677499
3.96,1000008,beam,366,0.0,1.96133,0.0
3.96,1000008,beam,373,1.035,1.96133,2.0299765499999998
3.96,1000008,beam,389,0.023435,1.96133,0.04596376855
3.96,1000008,beam,390,0.021565,1.96133,0.04229608145
3.96,1000008,beam,386,0.045,1.96133,0.08825985
3.96,1000009,beam,362,6.25,4.903325,30.64578125
3.96,1000009,beam,367,6.25,4.903325,30.64578125
3.96,1000009,beam,214,11.875,4.903325,58.226984374999994
3.96,1000009,beam,217,11.875,4.903325,58.226984374999994
3.96,1000010,beam,367,1.41,4.903325,6.913688249999999
3.96,1000010,beam,374,0.0,4.903325,0.0
3.96,1000010,beam,386,0.045,4.903325,0.220649625
3.96,1000010,beam,391,0.045,4.903325,0.220649625
3.96,1000010,beam,367,4.84,4.903325,23.732093
3.96,1000010,beam,374,0.0,4.903325,0.0
3.96,1000010,beam,386,4.08,4.903325,20.005565999999998
3.96,1000010,beam,391,4.08,4.903325,20.005565999999998
3.96,1000010,beam,367,0.0,4.903325,0.0
3.96,1000010,beam,374,4.84,4.903325,23.732093
3.96,1000010,beam,386,11.83,4.903325,58.00633474999999
3.96,1000010,beam,391,11.83,4.903325,58.00633474999999
3.96,1000010,beam,367,0.0,1.96133,0.0
3.96,1000010,beam,374,1.41,1.96133,2.7654753
3.96,1000010,beam,386,0.045,1.96133,0.08825985
3.96,1000010,beam,391,0.045,1.96133,0.08825985
3.96,1000011,beam,363,6.25,4.903325,30.64578125
3.96,1000011,beam,368,6.25,4.903325,30.64578125
3.96,1000011,beam,217,11.875,4.903325,58.226984374999994
3.96,1000011,beam,215,11.875,4.903325,58.226984374999994
3.96,1000012,beam,368,1.41,4.903325,6.913688249999999
3.96,1000012,beam,375,0.0,4.903325,0.0
3.96,1000012,beam,391,0.045,4.903325,0.220649625
3.96,1000012,beam,387,0.045,4.903325,0.220649625
3.96,1000012,beam,368,4.84,4.903325,23.732093
3.96,1000012,beam,375,0.0,4.903325,0.0
3.96,1000012,beam,391,4.08,4.903325,20.005565999999998
3.96,1000012,beam,387,4.08,4.903325,20.005565999999998
3.96,1000012,beam,368,0.0,4.903325,0.0
3.96,1000012,beam,375,4.84,4.903325,23.732093
3.96,1000012,beam,391,11.83,4.903325,58.00633474999999
3.96,1000012,beam,387,11.83,4.903325,58.00633474999999
3.96,1000012,beam,368,0.0,1.96133,0.0
3.96,1000012,beam,375,1.41,1.96133,2.7654753
3.96,1000012,beam,391,0.045,1.96133,0.08825985
3.96,1000012,beam,387,0.045,1.96133,0.08825985
3.96,1000013,beam,364,6.25,4.903325,30.64578125
3.96,1000013,beam,369,6.25,4.903325,30.64578125
3.96,1000013,beam,215,11.875,4.903325,58.226984374999994
3.96,1000013,beam,218,11.875,4.903325,58.226984374999994
3.96,1000014,beam,369,1.41,4.903325,6.913688249999999
3.96,1000014,beam,376,0.0,4.903325,0.0
3.96,1000014,beam,387,0.045,4.903325,0.220649625
3.96,1000014,beam,392,0.045,4.903325,0.220649625
3.96,1000014,beam,369,4.84,4.903325,23.732093
3.96,1000014,beam,376,0.0,4.903325,0.0
3.96,1000014,beam,387,4.08,4.903325,20.005565999999998
3.96,1000014,beam,392,4.08,4.903325,20.005565999999998
3.96,1000014,beam,369,0.0,4.903325,0.0
3.96,1000014,beam,376,4.84,4.903325,23.732093
3.96,1000014,beam,387,11.83,4.903325,58.00633474999999
3.96,1000014,beam,392,11.83,4.903325,58.00633474999999
3.96,1000014,beam,369,0.0,1.96133,0.0
3.96,1000014,beam,376,1.41,1.96133,2.7654753
3.96,1000014,beam,387,0.045,1.96133,0.08825985
3.96,1000014,beam,392,0.045,1.96133,0.08825985
3.96,1000015,beam,365,7.680625,4.903325,37.660600578125
3.96,1000015,beam,370,7.680625,4.903325,37.660600578125
3.96,1000015,beam,218,12.418125,4.903325,60.890102765624995
3.96,1000015,beam,219,2.201625,4.903325,10.795282903124999
3.96,1000016,beam,370,1.555,4.903325,7.624670374999999
3.96,1000016,beam,377,0.0,4.903325,0.0
3.96,1000016,beam,392,0.045,4.903325,0.220649625
3.96,1000016,beam,395,0.002191,4.903325,0.010743185074999998
3.96,1000016,beam,370,6.125625,4.903325,30.035930203124998
3.96,1000016,beam,377,0.0,4.903325,0.0
3.96,1000016,beam,392,4.152187,4.903325,20.359522321774996
3.96,1000016,beam,395,1.591633,4.903325,7.804293879725
3.96,1000016,beam,370,0.0,4.903325,0.0
3.96,1000016,beam,377,6.125625,4.903325,30.035930203124998
3.96,1000016,beam,392,12.234038,4.903325,59.98746437635
3.96,1000016,beam,395,2.486332,4.903325,12.1912938539
3.96,1000016,beam,370,0.0,1.96133,0.0
3.96,1000016,beam,377,1.550425,1.96133,3.04089506525
3.96,1000016,beam,392,0.045,1.96133,0.08825985
3.96,1000016,beam,395,0.001343,1.96133,0.00263406619
3.96,1000017,beam,223,13.09,2.451662,32.09225558
3.96,1000017,beam,225,13.035,2.451662,31.957414169999996
3.96,1000017,beam,220,19.1615,2.451662,46.977521413
3.96,1000017,beam,221,12.215,2.451662,29.947051329999997
3.96,1000018,beam,224,11.16,4.903325,54.721106999999996
3.96,1000018,beam,226,4.205,4.903325,20.618481624999998
3.96,1000018,beam,221,20.835,4.903325,102.160776375
3.96,1000018,beam,222,0.0,4.903325,0.0
3.96,1000018,beam,224,8.0,2.941995,23.53596
3.96,1000018,beam,226,15.08,2.941995,44.365284599999995
3.96,1000018,beam,221,0.32,2.941995,0.9414384
3.96,1000018,beam,222,24.0,2.941995,70.60788
7.92,1000019,beam,276,0.015779,1.96133,0.030947826070000004
7.92,1000019,beam,470,0.064181,1.96133,0.12588012073000002
7.92,1000019,beam,280,0.07996,1.96133,0.1568279468
7.92,1000019,beam,281,0.027543,1.96133,0.054020912190000006
7.92,1000019,beam,491,1.518111,1.96133,2.97751664763
7.92,1000019,beam,282,0.0,1.96133,0.0
7.92,1000019,beam,276,0.677971,4.903325,3.3243121535749998
7.92,1000019,beam,470,2.757694,4.903325,13.521869932549999
7.92,1000019,beam,280,3.435665,4.903325,16.846182086125
7.92,1000019,beam,281,0.052311,4.903325,0.256497834075
7.92,1000019,beam,491,2.883286,4.903325,14.137688325949998
7.92,1000019,beam,282,4.48125,4.903325,21.97302515625
7.92,1000020,beam,280,0.07996,1.96133,0.1568279468
7.92,1000020,beam,279,0.07996,1.96133,0.1568279468
7.92,1000020,beam,492,2.887318,1.96133,5.66298341294
7.92,1000020,beam,495,0.0,1.96133,0.0
7.92,1000020,beam,496,0.0,1.96133,0.0
7.92,1000020,beam,280,1.936265,4.903325,9.494136581125
7.92,1000020,beam,279,1.741252,4.903325,8.5379244629
7.92,1000020,beam,492,0.0,4.903325,0.0
