M_kNm,P_kN,caso,cumple,elemento,extremo,muro_origen,piso,tipo
38.88425382098876,2357.498772162264,G,True,101,,1,1,MURO
98.36056642970789,1888.0991867165155,G,True,102,,1,2,MURO
112.10182463029037,1413.032553552885,G,True,103,,1,3,MURO
-73.97686947348882,933.4474312284726,G,True,104,,1,4,MURO
77.70182552561249,449.58539375420895,G,True,105,,1,5,MURO
12.325777682302828,748.091418707517,G,True,201,,2,1,MURO
55.42058981088866,599.139538572972,G,True,202,,2,2,MURO
-1.4668448739636517,448.3894064820079,G,True,203,,2,3,MURO
-68.70556260318423,296.2054490915822,G,True,204,,2,4,MURO
-286.0724337015058,142.664326290892,G,True,205,,2,5,MURO
-42.86870146295928,2603.0449257682562,G,True,301,,3,1,MURO
-119.07307514269269,2073.16729511581,G,True,302,,3,2,MURO
-69.24058880362554,1539.2116128020534,G,True,303,,3,3,MURO
-260.39722193651846,1003.1446141596222,G,True,304,,3,4,MURO
-142.17670980345758,468.7092592718103,G,True,305,,3,5,MURO
17.44307580819543,824.5947572656014,G,True,401,,4,1,MURO
67.48588856235381,656.7396423770062,G,True,402,,4,2,MURO
7.360672656841842,487.59272260800907,G,True,403,,4,3,MURO
-57.95148556211072,317.77697883228785,G,True,404,,4,4,MURO
-276.8156666316401,148.47811952983645,G,True,405,,4,5,MURO
0.8350456724479045,2177.38259666222,G,True,501,,5,1,MURO
-2.605516430173111,1737.2184111040647,G,True,502,,5,2,MURO
31.487208997386233,1285.1566204954513,G,True,503,,5,3,MURO
-186.6763586190608,548.7096682017766,G,True,504,,5,4,MURO
-58.054961270569876,96.47904853125038,G,True,505,,5,5,MURO
-54.34028100263356,1624.9458696683212,G,True,601,,6,1,MURO
-74.74661648818415,1420.4917526801994,G,True,602,,6,2,MURO
-117.07805301084636,1188.492214321599,G,True,603,,6,3,MURO
-181.81988345928522,762.2202420200358,G,True,604,,6,4,MURO
-146.01703060618792,157.17683557105892,G,True,705,,7,5,MURO
11.807790788474904,869.3097172042101,G,True,801,,8,1,MURO
-1.8606383089306746,693.576254837655,G,True,802,,8,2,MURO
59.86341087082525,513.0927186269323,G,True,803,,8,3,MURO
163.68898336898525,219.0697450836916,G,True,804,,8,4,MURO
450.6939044741247,45.918231911603584,G,True,805,,8,5,MURO
0.3093559540541264,806.5901466267256,G,True,901,,9,1,MURO
-0.9651871833737005,643.5356240420272,G,True,902,,9,2,MURO
11.664125438640838,476.0737398920465,G,True,903,,9,3,MURO
-69.15243088931086,203.2641421507367,G,True,904,,9,4,MURO
-23.418982658352597,-49.954298499536904,G,True,905,,9,5,MURO
3.118636913396813,1162.515932320644,G,True,1002,,10,2,MURO
-100.33815743590236,860.0041794352128,G,True,1003,,10,3,MURO
-274.3621727306513,367.18684164574603,G,True,1004,,10,4,MURO
-1619.0766717061622,-43.550837146791224,G,True,1005,,10,5,MURO
0.2836131609223571,739.4884154611218,G,True,1101,,11,1,MURO
-0.8849085028761579,589.9987107322663,G,True,1102,,11,2,MURO
10.693771237767493,436.46828486783886,G,True,1103,,11,3,MURO
-63.39951360077812,186.35422513398845,G,True,1104,,11,4,MURO
-7.658295334325672,32.76646931249987,G,True,1105,,11,5,MURO
0.2836163546571129,739.4884227155598,G,True,1201,,12,1,MURO
-0.884897377038385,589.9987048149412,G,True,1202,,12,2,MURO
10.693771814051843,436.4682860698175,G,True,1203,,12,3,MURO
-63.39951192587087,186.35423002281664,G,True,1204,,12,4,MURO
20.95929401787494,140.87938673429022,G,True,1205,,12,5,MURO
0.6091934501587275,1588.5307218681564,G,True,1301,,13,1,MURO
-1.9008387475061,1267.4046384371154,G,True,1302,,13,2,MURO
22.971770354544788,937.598565615932,G,True,1303,,13,3,MURO
-1022.4227216224303,1255.2296706532322,G,True,1304,,13,4,MURO
822.8736028525358,655.4282263165157,G,True,1305,,13,5,MURO
-10.118819833813859,744.966126252053,G,True,1401,,14,1,MURO
1.594498639025261,594.369066675378,G,True,1402,,14,2,MURO
-51.30070934714411,439.70138547195046,G,True,1403,,14,3,MURO
-140.27539024605485,187.73462704906444,G,True,1404,,14,4,MURO
-630.3139417136465,30.30401872055785,G,True,1405,,14,5,MURO
0.16595114399899558,432.7376772563036,G,True,1501,,15,1,MURO
-0.517827582612199,345.2585002332273,G,True,1502,,15,2,MURO
6.2578369959065725,255.41477445889598,G,True,1503,,15,3,MURO
-37.1004541974202,109.05172870231479,G,True,1504,,15,4,MURO
20.154051036990374,-67.15315814751577,G,True,1505,,15,5,MURO
0.1659518034057328,432.73767709031824,G,True,1601,,16,1,MURO
-0.5178275557842937,345.2585004155453,G,True,1602,,16,2,MURO
6.257836854152401,255.414775288967,G,True,1603,,16,3,MURO
-37.100458606078774,109.05173336697644,G,True,1604,,16,4,MURO
-27.486762536608914,108.2072281519582,G,True,1605,,16,5,MURO
-8.333145724970791,613.5014947289535,G,True,1701,,17,1,MURO
293.5038639465111,557.456875821435,G,True,1801,,18,1,MURO
-72.46901287668047,690.8249509565557,G,True,1901,,19,1,MURO
217.73454733581661,2253.499276326586,G,True,2001,,20,1,MURO
-1657.5282085607232,1682.8058777112547,G,True,2101,,21,1,MURO
-1067.272941626219,1017.1934853332658,G,True,2201,,22,1,MURO
1799.8617843647899,1653.1370840424458,G,True,2302,,23,2,MURO
-106.8694826890005,1469.9167116624863,G,True,2402,,24,2,MURO
10.234716608533233,429.94524370058656,Q,True,101,,1,1,MURO
22.12194603417265,339.91349964111254,Q,True,102,,1,2,MURO
