kind,id,type,i,j,aux,x_m,y_m,z_m,level,status,restraint,axis
N,1,NODE,,,,0.0,0.0,0.0,0,MANUAL,true,E
N,101,NODE,,,,10.0,0.0,0.0,0,MANUAL,true,F
N,201,NODE,,,,20.0,0.0,0.0,0,MANUAL,true,G
N,1001,NODE,,,,0.0,7.25,0.0,0,MANUAL,true,E
N,1101,NODE,,,,10.0,7.25,0.0,0,MANUAL,true,F
N,1201,NODE,,,,20.0,7.25,0.0,0,MANUAL,true,G
N,2001,NODE,,,,0.0,16.15,0.0,0,MANUAL,true,E
N,2101,NODE,,,,10.0,16.15,0.0,0,MANUAL,true,F
N,2201,NODE,,,,20.0,16.15,0.0,0,MANUAL,true,G
N,700001,NODE,,,,-20.8,16.15,0.0,0,MANUAL,true,1B
N,700002,NODE,,,,-10.8,16.15,0.0,0,MANUAL,true,1C
N,700003,NODE,,,,-0.8,16.15,0.0,0,MANUAL,true,1D
N,700004,NODE,,,,-28.3,7.25,0.0,0,MANUAL,true,2A
N,700005,NODE,,,,-20.8,7.25,0.0,0,MANUAL,true,2B
N,700006,NODE,,,,-10.8,7.25,0.0,0,MANUAL,true,2C
N,700007,NODE,,,,-20.8,0.0,0.0,0,MANUAL,true,3B
N,700008,NODE,,,,-10.8,0.0,0.0,0,MANUAL,true,3C
N,100001,NODE,,,,0.0,0.0,3.96,1,MANUAL,false,E
N,100101,NODE,,,,10.0,0.0,3.96,1,MANUAL,false,F
N,100201,NODE,,,,20.0,0.0,3.96,1,MANUAL,false,G
N,100301,NODE,,,,30.0,0.0,3.96,1,MANUAL,true,H
N,100401,NODE,,,,40.0,0.0,3.96,1,MANUAL,true,I
N,100451,NODE,,,,45.0,0.0,3.96,1,MANUAL,true,I_prima
N,101001,NODE,,,,0.0,7.25,3.96,1,MANUAL,false,E
N,101101,NODE,,,,10.0,7.25,3.96,1,MANUAL,false,F
N,101201,NODE,,,,20.0,7.25,3.96,1,MANUAL,false,G
N,101301,NODE,,,,30.0,7.25,3.96,1,MANUAL,true,H
N,101401,NODE,,,,40.0,7.25,3.96,1,MANUAL,true,I
N,101451,NODE,,,,45.0,7.25,3.96,1,MANUAL,true,I_prima
N,102001,NODE,,,,0.0,16.15,3.96,1,MANUAL,false,E
N,102101,NODE,,,,10.0,16.15,3.96,1,MANUAL,false,F
N,102201,NODE,,,,20.0,16.15,3.96,1,MANUAL,false,G
N,102301,NODE,,,,30.0,16.15,3.96,1,MANUAL,true,H
N,102401,NODE,,,,40.0,16.15,3.96,1,MANUAL,true,I
N,102451,NODE,,,,45.0,16.15,3.96,1,MANUAL,true,I_prima
N,701001,NODE,,,,-20.8,16.15,3.96,1,MANUAL,false,1B
N,701002,NODE,,,,-10.8,16.15,3.96,1,MANUAL,false,1C
N,701003,NODE,,,,-0.8,16.15,3.96,1,MANUAL,false,1D
N,701004,NODE,,,,-28.3,7.25,3.96,1,MANUAL,false,2A
N,701005,NODE,,,,-20.8,7.25,3.96,1,MANUAL,false,2B
N,701006,NODE,,,,-10.8,7.25,3.96,1,MANUAL,false,2C
N,701007,NODE,,,,-20.8,0.0,3.96,1,MANUAL,false,3B
N,701008,NODE,,,,-10.8,0.0,3.96,1,MANUAL,false,3C
N,200001,NODE,,,,0.0,0.0,7.92,2,MANUAL,false,E
N,200101,NODE,,,,10.0,0.0,7.92,2,MANUAL,false,F
N,200201,NODE,,,,20.0,0.0,7.92,2,MANUAL,false,G
N,200301,NODE,,,,30.0,0.0,7.92,2,MANUAL,false,H
N,200401,NODE,,,,40.0,0.0,7.92,2,MANUAL,false,I
N,200451,NODE,,,,45.0,0.0,7.92,2,MANUAL,false,I_prima
N,201001,NODE,,,,0.0,7.25,7.92,2,MANUAL,false,E
N,201101,NODE,,,,10.0,7.25,7.92,2,MANUAL,false,F
N,201201,NODE,,,,20.0,7.25,7.92,2,MANUAL,false,G
N,201301,NODE,,,,30.0,7.25,7.92,2,MANUAL,false,H
N,201401,NODE,,,,40.0,7.25,7.92,2,MANUAL,false,I
N,201451,NODE,,,,45.0,7.25,7.92,2,MANUAL,false,I_prima
N,202001,NODE,,,,0.0,16.15,7.92,2,MANUAL,false,E
N,202101,NODE,,,,10.0,16.15,7.92,2,MANUAL,false,F
N,202201,NODE,,,,20.0,16.15,7.92,2,MANUAL,false,G
N,202301,NODE,,,,30.0,16.15,7.92,2,MANUAL,false,H
N,202401,NODE,,,,40.0,16.15,7.92,2,MANUAL,false,I
N,202451,NODE,,,,45.0,16.15,7.92,2,MANUAL,false,I_prima
N,702001,NODE,,,,-20.8,16.15,7.92,2,MANUAL,false,1B
N,702002,NODE,,,,-10.8,16.15,7.92,2,MANUAL,false,1C
N,702003,NODE,,,,-0.8,16.15,7.92,2,MANUAL,false,1D
N,702004,NODE,,,,-28.3,7.25,7.92,2,MANUAL,false,2A
N,702005,NODE,,,,-20.8,7.25,7.92,2,MANUAL,false,2B
N,702006,NODE,,,,-10.8,7.25,7.92,2,MANUAL,false,2C
N,702007,NODE,,,,-20.8,0.0,7.92,2,MANUAL,false,3B
N,702008,NODE,,,,-10.8,0.0,7.92,2,MANUAL,false,3C
N,300001,NODE,,,,0.0,0.0,11.88,3,MANUAL,false,E
N,300101,NODE,,,,10.0,0.0,11.88,3,MANUAL,false,F
N,300201,NODE,,,,20.0,0.0,11.88,3,MANUAL,false,G
N,300301,NODE,,,,30.0,0.0,11.88,3,MANUAL,false,H
N,300401,NODE,,,,40.0,0.0,11.88,3,MANUAL,false,I
N,300451,NODE,,,,45.0,0.0,11.88,3,MANUAL,false,I_prima
N,301001,NODE,,,,0.0,7.25,11.88,3,MANUAL,false,E
N,301101,NODE,,,,10.0,7.25,11.88,3,MANUAL,false,F
N,301201,NODE,,,,20.0,7.25,11.88,3,MANUAL,false,G
N,301301,NODE,,,,30.0,7.25,11.88,3,MANUAL,false,H
N,301401,NODE,,,,40.0,7.25,11.88,3,MANUAL,false,I
N,301451,NODE,,,,45.0,7.25,11.88,3,MANUAL,false,I_prima
N,302001,NODE,,,,0.0,16.15,11.88,3,MANUAL,false,E
N,302101,NODE,,,,10.0,16.15,11.88,3,MANUAL,false,F
N,302201,NODE,,,,20.0,16.15,11.88,3,MANUAL,false,G
N,302301,NODE,,,,30.0,16.15,11.88,3,MANUAL,false,H
N,302401,NODE,,,,40.0,16.15,11.88,3,MANUAL,false,I
N,302451,NODE,,,,45.0,16.15,11.88,3,MANUAL,false,I_prima
N,703001,NODE,,,,-20.8,16.15,11.88,3,MANUAL,false,1B
N,703002,NODE,,,,-10.8,16.15,11.88,3,MANUAL,false,1C
N,703003,NODE,,,,-0.8,16.15,11.88,3,MANUAL,false,1D
N,703004,NODE,,,,-28.3,7.25,11.88,3,MANUAL,false,2A
N,703005,NODE,,,,-20.8,7.25,11.88,3,MANUAL,false,2B
N,703006,NODE,,,,-10.8,7.25,11.88,3,MANUAL,false,2C
N,703007,NODE,,,,-20.8,0.0,11.88,3,MANUAL,false,3B
N,703008,NODE,,,,-10.8,0.0,11.88,3,MANUAL,false,3C
N,400001,NODE,,,,0.0,0.0,15.84,4,MANUAL,false,E
N,400101,NODE,,,,10.0,0.0,15.84,4,MANUAL,false,F
N,400201,NODE,,,,20.0,0.0,15.84,4,MANUAL,false,G
N,400301,NODE,,,,30.0,0.0,15.84,4,MANUAL,false,H
N,400401,NODE,,,,40.0,0.0,15.84,4,MANUAL,false,I
N,400451,NODE,,,,45.0,0.0,15.84,4,MANUAL,false,I_prima
N,400501,NODE,,,,50.0,0.0,15.84,4,MANUAL,false,J
N,401001,NODE,,,,0.0,7.25,15.84,4,MANUAL,false,E
N,401101,NODE,,,,10.0,7.25,15.84,4,MANUAL,false,F
N,401201,NODE,,,,20.0,7.25,15.84,4,MANUAL,false,G
N,401301,NODE,,,,30.0,7.25,15.84,4,MANUAL,false,H
N,401401,NODE,,,,40.0,7.25,15.84,4,MANUAL,false,I
N,401451,NODE,,,,45.0,7.25,15.84,4,MANUAL,false,I_prima
N,401501,NODE,,,,50.0,7.25,15.84,4,MANUAL,false,J
N,402001,NODE,,,,0.0,16.15,15.84,4,MANUAL,false,E
N,402101,NODE,,,,10.0,16.15,15.84,4,MANUAL,false,F
N,402201,NODE,,,,20.0,16.15,15.84,4,MANUAL,false,G
N,402301,NODE,,,,30.0,16.15,15.84,4,MANUAL,false,H
N,402401,NODE,,,,40.0,16.15,15.84,4,MANUAL,false,I
N,402451,NODE,,,,45.0,16.15,15.84,4,MANUAL,false,I_prima
N,402501,NODE,,,,50.0,16.15,15.84,4,MANUAL,false,J
N,704001,NODE,,,,-20.8,16.15,15.84,4,MANUAL,false,1B
N,704002,NODE,,,,-10.8,16.15,15.84,4,MANUAL,false,1C
N,704003,NODE,,,,-0.8,16.15,15.84,4,MANUAL,false,1D
N,704004,NODE,,,,-28.3,7.25,15.84,4,MANUAL,false,2A
N,704005,NODE,,,,-20.8,7.25,15.84,4,MANUAL,false,2B
N,704006,NODE,,,,-10.8,7.25,15.84,4,MANUAL,false,2C
N,704007,NODE,,,,-20.8,0.0,15.84,4,MANUAL,false,3B
N,704008,NODE,,,,-10.8,0.0,15.84,4,MANUAL,false,3C
N,500001,NODE,,,,0.0,0.0,19.8,5,MANUAL,false,E
N,500101,NODE,,,,10.0,0.0,19.8,5,MANUAL,false,F
N,500201,NODE,,,,20.0,0.0,19.8,5,MANUAL,false,G
N,500301,NODE,,,,30.0,0.0,19.8,5,MANUAL,false,H
N,500401,NODE,,,,40.0,0.0,19.8,5,MANUAL,false,I
N,500451,NODE,,,,45.0,0.0,19.8,5,MANUAL,false,I_prima
N,500501,NODE,,,,50.0,0.0,19.8,5,MANUAL,false,J
N,501001,NODE,,,,0.0,7.25,19.8,5,MANUAL,false,E
N,501101,NODE,,,,10.0,7.25,19.8,5,MANUAL,false,F
