bloque,z_m,masa_t,fuerza_kN,a_m_s2,a_g
LT1,3.96,480.51921438455736,942.4567507488639,1.96133,0.2
LT2,3.96,848.7338752955028,1664.6472116333284,1.96133,0.2
LT1,7.92,1270.510203673483,2491.889777770912,1.9613299999999998,0.19999999999999998
LT2,7.92,836.309449822311,1640.2788132199933,1.96133,0.2
LT1,11.88,1256.8062196332908,2465.0117427533623,1.9613300000000002,0.20000000000000004
LT2,11.88,836.3094489624528,1640.2788115335277,1.96133,0.2
LT1,15.84,1359.1810360268926,2665.8025413906253,1.96133,0.2
LT2,15.84,842.9763047703066,1653.3547158351455,1.9613300000000002,0.20000000000000004
LT1,19.8,1505.2370936045356,2952.2666687993838,1.96133,0.2
LT2,19.8,655.7600175153052,1286.1617951532935,1.9613299999999998,0.19999999999999998
