caso,elemento,tipo,eje,x_m,y_m,z_inferior_m,z_superior_m,nodo_inferior,nodo_superior,elementos_superiores,elementos_inferiores,P_compresion_kN,P_superior_kN,aporte_neto_nudo_kN,continuidad_nodal
G,1,COLUMN,E,0.0,0.0,0.0,3.96,1,100001,18,,745.4488276982817,1168.8337767469372,-423.3849490486556,OK
G,2,COLUMN,F,10.0,0.0,0.0,3.96,101,100101,19,,1030.545265163101,2783.787476001716,-1753.2422108386152,OK
G,3,COLUMN,G,20.0,0.0,0.0,3.96,201,100201,20,,3336.2761249898763,3288.7040658398755,47.57205915000077,OK
G,4,COLUMN,E,0.0,7.25,0.0,3.96,1001,101001,24,,991.199111991216,1382.9093759830805,-391.7102639918645,OK
G,5,COLUMN,F,10.0,7.25,0.0,3.96,1101,101101,25,,3369.798354616185,2967.3865373886306,402.41181722755437,OK
G,6,COLUMN,G,20.0,7.25,0.0,3.96,1201,101201,26,,3385.853632146706,3338.2815729967065,47.572059149999404,OK
G,7,COLUMN,E,0.0,16.15,0.0,3.96,2001,102001,30,,734.1545237041339,1212.3138179591492,-478.1592942550153,OK
G,8,COLUMN,F,10.0,16.15,0.0,3.96,2101,102101,31,,997.3828668797534,2313.5011508936564,-1316.1182840139031,OK
G,9,COLUMN,G,20.0,16.15,0.0,3.96,2201,102201,32,,2495.2901297507665,2447.7180706007657,47.57205915000077,OK
G,10,COLUMN,1B,-20.8,16.15,0.0,3.96,700001,701001,36,,3139.3097690105774,2482.3701448636575,656.9396241469199,OK
G,11,COLUMN,1C,-10.8,16.15,0.0,3.96,700002,701002,37,,3143.6772308457635,2506.8923946560158,636.7848361897477,OK
G,12,COLUMN,1D,-0.8,16.15,0.0,3.96,700003,701003,38,,444.4555288196137,448.01439080497045,-3.5588619853567707,OK
G,13,COLUMN,2A,-28.3,7.25,0.0,3.96,700004,701004,39,,3469.0983822982535,2736.8405163402563,732.2578659579972,OK
