caso,nodo,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
G,1,1.3286004311460036e-14,-2.1030893561373321e-13,-3.6918374908296705e-12,8.827977236550597e-14,-8.050605719462069e-14,-6.5155204195776365e-18
G,101,-1.243645755080234e-13,5.01860484632129e-14,-8.18840954629683e-12,2.1895352119588318e-13,8.952991513601393e-14,2.1894360546587658e-16
G,201,-1.0125811185719995e-13,-9.203711737915666e-15,-3.357875365199548e-11,1.2148898403911848e-14,-1.3366070683094677e-13,-7.05216607390634e-23
G,1001,-1.0108360645528082e-14,2.8827794813165187e-13,-4.331065007612974e-12,1.5001628965770185e-15,-5.9083825879714666e-15,-2.5051210588719165e-17
G,1101,7.825095995330178e-14,-2.228436159015661e-15,-3.375303873579312e-11,2.9415343138639065e-15,1.0329126661006227e-13,-7.052165979260471e-23
G,1201,-1.6827309798040884e-14,-3.5490372059234022e-15,-3.4115490901306873e-11,4.684728065945187e-15,-2.2212048463888334e-14,-7.05216607390634e-23
G,2001,3.2977145000953045e-13,-1.1295377509729647e-13,-5.911354920033273e-12,7.056043669724655e-14,4.008312985805137e-13,2.6711967238191295e-16
G,2101,-3.945509223106905e-15,-1.7052094515315626e-13,-7.586983961842374e-12,7.417725700190288e-15,9.685685196973103e-14,4.627315247523009e-18
G,2201,-1.1579526507428359e-14,-6.257309185813308e-15,-2.5212007645979062e-11,8.25964705820031e-15,-1.5284974180968333e-14,-7.05216607390634e-23
G,100001,3.3555997930760743e-14,2.44702969976007e-12,-0.00013882663339940532,-1.0185869434524567e-07,-3.607422805200824e-06,-5.584198724277769e-14
G,100101,1.0716891347882654e-12,9.738582782977939e-13,-0.0002707458963209171,7.958104330433045e-06,1.6700590605565718e-05,-5.624281006685059e-14
G,100201,4.4153519212085885e-13,1.366992599052696e-12,-0.0008981628750123054,-4.008335873200403e-06,4.409921409005858e-05,-5.584198697847827e-14
G,100301,1.112114057778644e-14,3.7225229736755846e-13,-3.04705380621741e-11,3.597433132613373e-14,-1.8823809402198727e-14,-2.7920993542130382e-14
G,100401,2.0064943139287153e-13,-2.3117772700522917e-13,-2.0421000599016348e-11,-1.1328588767891584e-12,1.388680081327946e-12,-3.420661235858385e-14
