caso,bloque,z_m,cm_x_m,cm_y_m,fuerza_kN,ux_cm_m,uy_cm_m,rz_rad,ux_master_m,uy_master_m,master_x_m,master_y_m
G,LT1,3.96,9.5812017968513,8.280517243116533,0.0,8.507009409158485e-13,8.029765054143862e-13,-9.435874987754069e-15,7.72567015375859e-13,8.933835278019197e-13,0.0,0.0
G,LT2,3.96,-17.640862964141593,8.281091932562566,0.0,-2.3306366038419733e-06,1.2974902212133171e-05,-5.075791218312589e-12,-2.3306786369356826e-06,1.2974973471861651e-05,-31.679999999999996,0.0
G,LT1,7.92,21.479515622754562,7.88078587266745,0.0,-5.436664586673807e-06,1.6452306025405986e-05,-4.783492884600133e-10,-5.440434354988503e-06,1.6462580736420594e-05,0.0,0.0
G,LT2,7.92,-17.894092051651985,8.299402816317034,0.0,1.2940426717097998e-05,3.725207061272129e-05,-5.717445078249588e-12,1.294037970024404e-05,3.725215154834752e-05,-32.05,0.07599999999999985
G,LT1,11.88,20.881144798066224,7.468772582357823,0.0,4.6294704159951317e-05,5.480814710522697e-05,5.918706398735553e-07,5.0715251367341504e-05,4.244921057230315e-05,0.0,0.0
G,LT2,11.88,-17.893786314414243,8.300052781071829,0.0,6.338313639131896e-05,7.526051114208476e-05,-7.92794954092482e-12,6.338307581343807e-05,7.526062337183255e-05,-32.05,0.6589999999999998
G,LT1,15.84,23.809503212661653,7.538875422021011,0.0,0.00018734476071624072,0.00012660577656033,7.603629228623344e-11,0.00018734533394437582,0.00012660396617398452,0.0,0.0
G,LT2,15.84,-17.71341295487376,8.331206760522804,0.0,0.00018734535883618923,0.00012660369783529444,1.5579732080284447e-11,0.00018734546928413122,0.00012660347447510933,-32.05,1.2419999999999998
G,LT1,19.8,24.810622677985457,7.029230343813885,0.0,0.00045865669480040525,0.00023123932098731399,-6.400781544362465e-09,0.0004586117022325495,0.00023139812836305538,0.0,0.0
G,LT2,19.8,-18.23198866859197,8.262057924227996,0.0,0.00039699633206286293,0.00014181925534247222,2.9041234121493727e-12,0.00039699635075687357,0.00014181921521326198,-32.05,1.825
Q,LT1,3.96,9.5812017968513,8.280517243116533,0.0,2.4090761921316265e-13,2.2632071944025604e-13,-1.8466624533856426e-15,2.2561629892568697e-13,2.440139650568124e-13,0.0,0.0
Q,LT2,3.96,-17.640862964141593,8.281091932562566,0.0,-1.7805789533514286e-06,7.261268201219614e-06,-2.1457695925756616e-12,-1.7805967226666909e-06,7.2612983259729715e-06,-31.679999999999996,0.0
Q,LT1,7.92,21.479515622754562,7.88078587266745,0.0,-2.9661415576304294e-06,5.784340711642918e-06,-1.369798405055531e-10,-2.9672210664223257e-06,5.7872829722670594e-06,0.0,0.0
Q,LT2,7.92,-17.894092051651985,8.299402816317034,0.0,2.26881789504922e-06,1.962440098547661e-05,-1.989769951474049e-12,2.2688015323693972e-06,1.962442915247688e-05,-32.05,0.07599999999999985
Q,LT1,11.88,20.881144798066224,7.468772582357823,0.0,1.1990733372929425e-05,2.2085731572289448e-05,1.7309084992897164e-07,1.3283509567135942e-05,1.847139647170224e-05,0.0,0.0
Q,LT2,11.88,-17.893786314414243,8.300052781071829,0.0,1.6139742764078693e-05,3.669238764224513e-05,-2.530525621466519e-12,1.6139723428198855e-05,3.669242346490657e-05,-32.05,0.6589999999999998
Q,LT1,15.84,23.809503212661653,7.538875422021011,0.0,5.2800871803746526e-05,5.7628642196643585e-05,2.70131652564954e-11,5.280107545263415e-05,5.7627999026598625e-05,0.0,0.0
Q,LT2,15.84,-17.71341295487376,8.331206760522804,0.0,5.280108499862536e-05,5.762789708902976e-05,5.903618449938581e-12,5.2801126850597183e-05,5.762781245128997e-05,-32.05,1.2419999999999998
Q,LT1,19.8,24.810622677985457,7.029230343813885,0.0,0.0001321364357230029,0.00011611785966427455,-2.0435061801656694e-09,0.00013212207144735352,0.00011616856032505078,0.0,0.0
Q,LT2,19.8,-18.23198866859197,8.262057924227996,0.0,0.00011372821149773888,6.376116310122716e-05,1.3919605434719942e-12,0.00011372822045786954,6.37611438671006e-05,-32.05,1.825
EX,LT1,3.96,9.5812017968513,8.280517243116533,942.4567507488639,3.5424376204740525e-11,2.542098018402365e-11,-9.069141331100852e-13,2.791465808749638e-11,3.411030750576784e-11,0.0,0.0
EX,LT2,3.96,-17.640862964141593,8.281091932562566,1664.6472116333284,0.0004147106445622605,-4.919462962741832e-07,4.255484009983258e-13,0.0004147106480862659,-4.919522706065002e-07,-31.679999999999996,0.0
EX,LT1,7.92,21.479515622754562,7.88078587266745,2491.889777770912,0.0008076000537894334,-3.6687538907108535e-06,1.2105555348741136e-08,0.0008076954550790066,-3.928775355946259e-06,0.0,0.0
EX,LT2,7.92,-17.894092051651985,8.299402816317034,1640.2788132199933,0.0013647378748994732,-4.304459688844955e-06,-1.4938710662811506e-12,0.0013647378626147695,-4.304438541743654e-06,-32.05,0.07599999999999985
EX,LT1,11.88,20.881144798066224,7.468772582357823,2465.0117427533623,0.0025610543167147544,2.6941752255297857e-05,1.1896136661950622e-06,0.00256993927064843,2.101257037720343e-06,0.0,0.0
EX,LT2,11.88,-17.893786314414243,8.300052781071829,1640.2788115335277,0.002733485739588731,-1.1305745434813058e-05,-3.689116173145533e-12,0.0027334857113999996,-1.13056932108962e-05,-32.05,0.6589999999999998
EX,LT1,15.84,23.809503212661653,7.538875422021011,2665.8025413906253,0.004047614903793697,-1.7399619782116763e-05,-1.6006270710322303e-11,0.004047614783124416,-1.739923868076286e-05,0.0,0.0
EX,LT2,15.84,-17.71341295487376,8.331206760522804,1653.3547158351455,0.00404761477666818,-1.7399214972156494e-05,-1.4018880089238232e-12,0.004047614766729906,-1.7399194873867027e-05,-32.05,1.2419999999999998
EX,LT1,19.8,24.810622677985457,7.029230343813885,2952.2666687993838,0.00520997748232961,-7.232211435255217e-05,1.4746012697824911e-09,0.0052099878476416,-7.235870012825722e-05,0.0,0.0
EX,LT2,19.8,-18.23198866859197,8.262057924227996,1286.1617951532935,0.004895610347028527,-2.0147564795475466e-05,-1.1618721173771471e-12,0.004895610339549489,-2.0147548740713383e-05,-32.05,1.825
EY,LT1,3.96,9.5812017968513,8.280517243116533,942.4567507488639,-2.2060982023571524e-13,4.462107057991605e-11,-9.609630735418913e-13,-8.177881120697608e-12,5.382825170684337e-11,0.0,0.0
EY,LT2,3.96,-17.640862964141593,8.281091932562566,1664.6472116333284,6.263553453906067e-08,0.0005510960400238533,-8.147206411140199e-11,6.196085688621852e-08,0.000551097183821326,-31.679999999999996,0.0
EY,LT1,7.92,21.479515622754562,7.88078587266745,2491.889777770912,-1.5891861480856629e-06,0.0004201466089237596,-1.933750611921841e-08,-1.7415808931226197e-06,0.00042056196918855245,0.0,0.0
EY,LT2,7.92,-17.894092051651985,8.299402816317034,1640.2788132199933,2.4114086306458203e-07,0.0012667795652612788,-2.0438358336174106e-11,2.409727902110794e-07,0.0012667798545847979,-32.05,0.07599999999999985
EY,LT1,11.88,20.881144798066224,7.468772582357823,2465.0117427533623,2.0182019134289765e-06,0.0016285140603401727,1.1807136271039075e-05,9.02030175707282e-05,0.001381967538214106,0.0,0.0
EY,LT2,11.88,-17.893786314414243,8.300052781071829,1640.2788115335277,2.1283376701167263e-07,0.0019361459778323422,1.243344988668871e-11,2.1292877165850764e-07,0.0019361458018217687,-32.05,0.6589999999999998
EY,LT1,15.84,23.809503212661653,7.538875422021011,2665.8025413906253,-2.4964184380411587e-05,0.0024948309293587254,6.348256764857194e-10,-2.495939850872186e-05,0.0024948158144747416,0.0,0.0
EY,LT2,15.84,-17.71341295487376,8.331206760522804,1653.3547158351455,-2.4959224716010844e-05,0.0024948137580604454,1.1855801183918478e-10,-2.49583842337518e-05,0.0024948120583431887,-32.05,1.2419999999999998
EY,LT1,19.8,24.810622677985457,7.029230343813885,2952.2666687993838,-3.8238728394440916e-05,0.0037322085818445932,2.137848984302227e-08,-3.8088454064931425e-05,0.003731678168199673,0.0,0.0
EY,LT2,19.8,-18.23198866859197,8.262057924227996,1286.1617951532935,-5.045307761062751e-05,0.002684330376625728,4.8508340145853217e-11,-5.045276535963219e-05,0.0026843297063369343,-32.05,1.825
R,LT1,3.96,9.5812017968513,8.280517243116533,0.0,2.976380908468709e-11,8.230890101032083e-12,-4.511509522039207e-13,2.6028045845714084e-11,1.2553458414939463e-11,0.0,0.0
R,LT2,3.96,-17.640862964141593,8.281091932562566,0.0,0.0003264603271285365,-0.00013998669077062393,1.5687028138341892e-11,0.0003264604570342586,-0.00013998691100296164,-31.679999999999996,0.0
R,LT1,7.92,21.479515622754562,7.88078587266745,0.0,0.0006358804599040367,-0.00010113811051468947,1.4719905125697292e-08,0.0006359964643243984,-0.00010145428694680236,0.0,0.0
R,LT2,7.92,-17.894092051651985,8.299402816317034,0.0,0.0011104233922734762,-0.0003113007359745365,-4.710065330500229e-12,0.0011104233535407116,-0.00031130066929928524,-32.05,0.07599999999999985
R,LT1,11.88,20.881144798066224,7.468772582357823,0.0,0.002120579186956152,-0.00037031110019517845,-1.6378920456156456e-06,0.0021083461437529957,-0.00033611003922707724,0.0,0.0
R,LT2,11.88,-17.893786314414243,8.300052781071829,0.0,0.002285380890226449,-0.00044820632042075616,-1.973750630156801e-11,0.002285380739411122,-0.00044820604101239935,-32.05,0.6589999999999998
R,LT1,15.84,23.809503212661653,7.538875422021011,0.0,0.0035443165295228427,-0.0005297617484745366,-7.419251995499958e-11,0.0035443159701946773,-0.0005297599819874943,0.0,0.0
R,LT2,15.84,-17.71341295487376,8.331206760522804,0.0,0.0035443159561263,-0.0005297598108134493,-9.728280548346427e-12,0.0035443158871605075,-0.0005297596713431085,-32.05,1.2419999999999998
R,LT1,19.8,24.810622677985457,7.029230343813885,0.0,0.004914832455635851,-0.000737467825106036,-1.5775544152530327e-08,0.004914721565702204,-0.0007370764240325277,0.0,0.0
R,LT2,19.8,-18.23198866859197,8.262057924227996,0.0,0.004567239448754751,-0.0005619682251891865,-1.0048343169770759e-11,0.004567239384072984,-0.0005619680863410667,-32.05,1.825
EXG,LT1,3.96,9.5812017968513,8.280517243116533,0.0,3.094816597351067e-11,2.1839475919571484e-11,-7.903041943492543e-13,2.442748077206093e-11,2.972427890482443e-11,0.0,0.0
EXG,LT2,3.96,-17.640862964141593,8.281091932562566,0.0,0.00035991030828284604,-4.2807223036450865e-07,2.838041907264415e-13,0.00035991031064384877,-4.280761859376443e-07,-31.679999999999996,0.0
EXG,LT1,7.92,21.479515622754562,7.88078587266745,0.0,0.0007039815745411821,-3.201919239776659e-06,1.0529340833988132e-08,0.0007040650532905262,-3.4274437117936854e-06,0.0,0.0
EXG,LT2,7.92,-17.894092051651985,8.299402816317034,0.0,0.0011875697542309835,-3.7544366066347746e-06,-1.3421969116264976e-12,0.0011875697431457638,-3.7544176891156095e-06,-32.05,0.07599999999999985
EXG,LT1,11.88,20.881144798066224,7.468772582357823,0.0,0.0022335792269052987,2.2832104113377968e-05,1.0022318812332481e-06,0.002241109721714725,2.0223266205848814e-06,0.0,0.0
EXG,LT2,11.88,-17.893786314414243,8.300052781071829,0.0,0.002382524656030265,-9.89130335197506e-06,-3.303958500002851e-12,0.002382524630666877,-9.891256783591424e-06,-32.05,0.6589999999999998
EXG,LT1,15.84,23.809503212661653,7.538875422021011,0.0,0.0035319134493628805,-1.5254464884174059e-05,-1.4808748371324288e-11,0.003531913338030306,-1.5254112366808822e-05,0.0,0.0
EXG,LT2,15.84,-17.71341295487376,8.331206760522804,0.0,0.0035319133321585557,-1.525408957978483e-05,-1.341037239242806e-12,0.0035319133226133005,-1.525407043167752e-05,-32.05,1.2419999999999998
EXG,LT1,19.8,24.810622677985457,7.029230343813885,0.0,0.004543652365381154,-6.342223931553305e-05,1.423847823071585e-09,0.004543662190532886,-6.345734634721965e-05,0.0,0.0
EXG,LT2,19.8,-18.23198866859197,8.262057924227996,0.0,0.004275408827968947,-1.7673467904754884e-05,-1.014307904321447e-12,0.004275408821456914,-1.7673453912397796e-05,-32.05,1.825
EXQ,LT1,3.96,9.5812017968513,8.280517243116533,0.0,9.004772591689737e-12,7.860562395032644e-12,-2.332212904413864e-13,6.97441067894326e-12,8.772109381786194e-12,0.0,0.0
EXQ,LT2,3.96,-17.640862964141593,8.281091932562566,0.0,0.00010960143274452619,-1.2776395581240346e-07,2.8348421188235905e-13,0.00010960143502849883,-1.2776810529929885e-07,-31.679999999999996,0.0
EXQ,LT1,7.92,21.479515622754562,7.88078587266745,0.0,0.00020723858991705541,-9.336206072942028e-07,3.152445679735942e-09,0.00020726237481947802,-1.0026923410642608e-06,0.0,0.0
EXQ,LT2,7.92,-17.894092051651985,8.299402816317034,0.0,0.0003543388109592244,-1.100090749401286e-06,-3.034261414814568e-13,0.0003543388085288138,-1.1000863423040095e-06,-32.05,0.07599999999999985
EXQ,LT1,11.88,20.881144798066224,7.468772582357823,0.0,0.0006549779507892821,8.279095977470446e-06,3.74712367729472e-07,0.0006576633368739809,1.581116935215487e-07,0.0,0.0
EXQ,LT2,11.88,-17.893786314414243,8.300052781071829,0.0,0.0007019269850015752,-2.828962622563355e-06,-7.702341238126787e-13,0.000701926979280653,-2.8289514349841707e-06,-32.05,0.6589999999999998
EXQ,LT1,15.84,23.809503212661653,7.538875422021011,0.0,0.0010314099084576514,-4.2904162149409776e-06,-2.396190857555963e-12,0.0010314098899841689,-4.29035906802854e-06,0.0,0.0
EXQ,LT2,15.84,-17.71341295487376,8.331206760522804,0.0,0.0010314098888708873,-4.290357109777321e-06,-1.218068823622978e-13,0.0010314098880282343,-4.290355321183632e-06,-32.05,1.2419999999999998
EXQ,LT1,19.8,24.810622677985457,7.029230343813885,0.0,0.0013326577987645065,-1.7800405506949206e-05,1.0150215202375324e-10,0.0013326585873962734,-1.78030137872756e-05,0.0,0.0
EXQ,LT2,19.8,-18.23198866859197,8.262057924227996,0.0,0.0012404109336198446,-4.948309837631451e-06,-2.950035172831215e-13,0.0012404109316599464,-4.948305678135631e-06,-32.05,1.825
EYG,LT1,3.96,9.5812017968513,8.280517243116533,0.0,-2.1476639963829048e-13,3.939644843764464e-11,-8.609854424861124e-13,-7.318632320665897e-12,4.798643269397738e-11,0.0,0.0
EYG,LT2,3.96,-17.640862964141593,8.281091932562566,0.0,7.224320755858958e-08,0.0004783139214251661,-7.10776164283294e-11,7.165190394095583e-08,0.0004783149120825252,-31.679999999999996,0.0
EYG,LT1,7.92,21.479515622754562,7.88078587266745,0.0,-1.3473163371140846e-06,0.00036704230800444995,-1.6925841416384924e-08,-1.4815078402018805e-06,0.00036740483700878725,0.0,0.0
EYG,LT2,7.92,-17.894092051651985,8.299402816317034,0.0,2.7835578207831493e-07,0.0011006793845573962,-1.807696649940292e-11,2.782064842047996e-07,0.0011006796393421875,-32.05,0.07599999999999985
EYG,LT1,11.88,20.881144798066224,7.468772582357823,0.0,1.4203864124005952e-06,0.0014181269913577591,1.0211679894230584e-05,7.814814161452445e-05,0.001206097429730681,0.0,0.0
EYG,LT2,11.88,-17.893786314414243,8.300052781071829,0.0,3.159759301659386e-07,0.001684127927780488,1.0528773124777503e-11,3.160567560473878e-07,0.0016841277793803351,-32.05,0.6589999999999998
EYG,LT1,15.84,23.809503212661653,7.538875422021011,0.0,-2.1534684572812395e-05,0.0021725935842364266,5.5663178355152e-10,-2.1530499799867616e-05,0.002172580333800615,0.0,0.0
EYG,LT2,15.84,-17.71341295487376,8.331206760522804,0.0,-2.153035115761337e-05,0.0021725785339443563,1.0342578436431873e-10,-2.1529614991986915e-05,0.002172577057171035,-32.05,1.2419999999999998
EYG,LT1,19.8,24.810622677985457,7.029230343813885,0.0,-3.324009737895669e-05,0.003238866501591851,1.793380271501877e-08,-3.31163465609553e-05,0.003238424317694123,0.0,0.0
EYG,LT2,19.8,-18.23198866859197,8.262057924227996,0.0,-4.3681746027412125e-05,0.00234129570720527,4.241502918048877e-11,-4.3681473715540364e-05,0.0023412951220907973,-32.05,1.825
