element,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
1,37.4999999999998,-5.049006123956272,9.010177016633614,-6.434996827093661e-15,-8.969631220058744,-5.030072350991539,-37.4999999999998,5.049006123956272,-9.010177016633614,6.434996827093661e-15,-18.0608998298421,-10.116946020877279
2,37.50000000000013,-5.049006123955918,-9.010177016633477,-5.189769669786138e-15,8.969631220058647,-5.030072350991103,-37.50000000000013,5.049006123955918,9.010177016633477,5.189769669786138e-15,18.060899829841787,-10.116946020876652
3,37.50000000000062,5.049006123955843,-9.010177016634389,-9.141587995998229e-15,8.969631220059549,5.030072350990991,-37.50000000000062,-5.049006123955843,9.010177016634389,9.141587995998229e-15,18.06089982984362,10.116946020876542
4,37.50000000000137,5.049006123956154,9.010177016634422,-5.001973519286721e-15,-8.969631220059552,5.030072350991216,-37.50000000000137,-5.049006123956154,-9.010177016634422,5.001973519286721e-15,-18.060899829843713,10.116946020877247
5,9.010177016633625,-1.4314722438881464e-14,21.87499999999875,-4.29953924026283e-14,-18.060899829841976,-3.2484607990237784e-14,-9.010177016633625,1.4314722438881464e-14,-21.24999999999875,4.29953924026283e-14,7.2796498298426,2.5327246770797052e-14
6,9.010177016633628,-1.441714334063973e-14,21.24999999999933,-4.458781434346638e-14,-7.279649829842806,-2.5776498010770985e-14,-9.010177016633628,1.441714334063973e-14,-19.37499999999933,4.458781434346638e-14,-2.8766001701568586,1.856792634045112e-14
7,9.010177016633628,-1.2195076600546173e-14,19.37499999999891,-4.458781434346638e-14,2.876600170156767,-1.8207653243914585e-14,-9.010177016633628,1.2195076600546173e-14,-16.24999999999891,4.458781434346638e-14,-11.782850170156221,1.2110114943641498e-14
8,9.010177016633637,-1.0495394161022855e-14,16.250000000000274,-4.29953924026283e-14,11.782850170156058,-1.2488197475366356e-14,-9.010177016633637,1.0495394161022855e-14,-11.875000000000274,4.29953924026283e-14,-18.814100170156195,7.240500394854928e-15
9,9.010177016633639,-7.218840837533619e-15,11.874999999999815,-4.1402970461790213e-14,18.814100170155896,-6.3306231721352056e-15,-9.010177016633639,7.218840837533619e-15,-6.249999999999815,4.1402970461790213e-14,-23.345350170155804,2.7212027533683962e-15
10,9.010177016633644,-1.0308195953112748e-14,6.249999999999865,-3.981054852095213e-14,23.345350170155385,-2.646482692872555e-15,-9.010177016633644,1.0308195953112748e-14,1.3500311979441904e-13,3.981054852095213e-14,-24.907850170155317,-2.5076152836838195e-15
11,9.010177016633644,-8.718648609699643e-15,1.9682033780554775e-12,-3.662570463927595e-14,24.907850170154614,2.521869601857138e-15,-9.010177016633644,8.718648609699643e-15,6.249999999998032,3.662570463927595e-14,-23.345350170155598,-6.8811939067069595e-15
12,9.010177016633644,-7.239842103540925e-15,-6.249999999999176,-4.1402970461790213e-14,23.34535017015562,5.982535454461677e-15,-9.010177016633644,7.239842103540925e-15,11.874999999999176,4.1402970461790213e-14,-18.81410017015603,-9.60245650623214e-15
13,9.01017701663349,-6.5479727315006486e-15,-11.874999999999932,-4.458781434346638e-14,18.81410017015611,1.195337653314905e-14,-9.01017701663349,6.5479727315006486e-15,16.249999999999932,4.458781434346638e-14,-11.782850170156143,-1.5227362898899375e-14
14,9.0101770166334,-4.684114310492834e-15,-16.24999999999977,-4.29953924026283e-14,11.782850170157028,1.7376411285338796e-14,-9.0101770166334,4.684114310492834e-15,19.37499999999977,4.29953924026283e-14,-2.8766001701571438,-1.9718468440585213e-14
15,9.010177016633426,6.468158141695272e-16,-19.37499999999985,-3.981054852095213e-14,2.8766001701563386,2.1668782704121415e-14,-9.010177016633426,-6.468158141695272e-16,21.24999999999985,3.981054852095213e-14,7.279649829843587,-2.1345374797036652e-14
16,9.010177016633438,1.9596822523344074e-16,-21.249999999999275,-3.503328269843787e-14,-7.279649829843669,2.278401587297447e-14,-9.010177016633438,-1.9596822523344074e-16,21.874999999999275,3.503328269843787e-14,18.060899829843308,-2.268603176035775e-14
17,9.010177016634412,-8.288604599551789e-15,21.875000000000753,9.395289450944702e-14,-18.060899829843887,-2.7095981327253018e-14,-9.010177016634412,8.288604599551789e-15,-21.250000000000753,-9.395289450944702e-14,7.279649829843511,2.2951679027477123e-14
18,9.010177016634408,-7.463235339613138e-15,21.25000000000124,9.076805062777085e-14,-7.279649829843471,-2.261524554146306e-14,-9.010177016634408,7.463235339613138e-15,-19.37500000000124,-9.076805062777085e-14,-2.876600170157148,1.888362787165649e-14
19,9.010177016634403,-7.98349921090083e-15,19.375000000001172,8.758320674609468e-14,2.876600170156794,-1.9319565400001643e-14,-9.010177016634403,7.98349921090083e-15,-16.250000000001172,-8.758320674609468e-14,-11.78285017015738,1.532781579455123e-14
20,9.010177016634408,-8.420270577716628e-15,16.249999999999833,8.758320674609468e-14,11.782850170157142,-1.589108676458141e-14,-9.010177016634408,8.420270577716628e-15,-11.874999999999833,-8.758320674609468e-14,-18.814100170157058,1.1680951475723095e-14
21,9.010177016634408,-7.824410345124046e-15,11.87500000000265,8.917562868693276e-14,18.814100170157143,-1.0895516344298474e-14,-9.010177016634408,7.824410345124046e-15,-6.25000000000265,-8.917562868693276e-14,-23.34535017015847,6.983311171736451e-15
22,9.010177016634412,-8.382408292639577e-15,6.249999999998863,8.758320674609468e-14,23.34535017015845,-6.8739738790651865e-15,-9.010177016634412,8.382408292639577e-15,1.1368683772161603e-12,-8.758320674609468e-14,-24.907850170157882,2.6827697327453977e-15
23,9.010177016634406,-9.927957452246848e-15,-3.360867140145274e-12,9.395289450944702e-14,24.9078501701589,-3.662871102246098e-15,-9.010177016634406,9.927957452246848e-15,6.250000000003361,-9.395289450944702e-14,-23.345350170157218,-1.3011076238773267e-15
24,9.010177016634398,-1.1180164990970802e-14,-6.250000000001563,9.236047256860893e-14,23.34535017015825,6.077734878044322e-16,-9.010177016634398,1.1180164990970802e-14,11.875000000001563,-9.236047256860893e-14,-18.81410017015747,-6.197855983289833e-15
25,9.010177016634398,-8.034059376230472e-15,-11.87500000000183,9.076805062777085e-14,18.81410017015777,6.50259356928079e-15,-9.010177016634398,8.034059376230472e-15,16.25000000000183,-9.076805062777085e-14,-11.782850170156854,-1.0519623257396026e-14
26,9.0101770166344,-8.527604409855894e-15,-16.24999999999952,9.395289450944702e-14,11.782850170156598,1.0838640714374216e-14,-9.0101770166344,8.527604409855894e-15,19.37499999999952,-9.395289450944702e-14,-2.876600170156838,-1.5102442919302163e-14
27,9.010177016634394,-9.136360554762284e-15,-19.375000000000544,1.8631336707805595e-13,2.876600170156512,1.4706948673130923e-14,-9.010177016634394,9.136360554762284e-15,21.250000000000544,-1.8631336707805595e-13,7.27964982984376,-1.9275128950512064e-14
28,9.010177016634387,-1.2412093875267828e-14,-21.250000000000497,1.5924219408380851e-13,-7.279649829843637,1.9618887102598708e-14,-9.010177016634387,1.2412093875267828e-14,21.875000000000497,-1.5924219408380851e-13,18.060899829843887,-2.582493404023262e-14
29,5.049006123956289,1.4399709476836847e-14,15.625000000000835,-2.0701485230895105e-13,-10.116946020877311,2.585831805648197e-14,-5.049006123956289,-1.4399709476836847e-14,-15.000000000000835,2.0701485230895105e-13,2.460696020876894,-1.8658463318063547e-14
30,5.049006123956294,1.0959337256962482e-14,15.000000000001144,-2.0383000842727488e-13,-2.460696020876915,1.9061089135745556e-14,-5.049006123956294,-1.0959337256962482e-14,-13.125000000001144,2.0383000842727488e-13,-4.570553979123657,-1.3581420507264314e-14
31,5.049006123956289,7.90813001940212e-15,13.12500000000085,-2.0064516454559871e-13,4.570553979123544,1.2203359357494532e-14,-5.049006123956289,-7.90813001940212e-15,-10.00000000000085,2.0064516454559871e-13,-10.35180397912397,-8.249294347793473e-15
32,5.049006123956291,1.1169873187186812e-14,10.000000000001048,-2.1019969619062722e-13,10.351803979123915,8.352662471866753e-15,-5.049006123956291,-1.1169873187186812e-14,-5.625000000001048,2.1019969619062722e-13,-14.258053979124439,-2.7677258782733472e-15
33,5.049006123956291,6.334304352325941e-15,5.62500000000081,-2.1656938395397956e-13,14.25805397912429,3.4849538763690106e-15,-5.049006123956291,-6.334304352325941e-15,-8.100187187665142e-13,2.1656938395397956e-13,-15.664303979124695,-3.1780170020604006e-16
34,5.049006123956291,5.914152086163645e-15,-2.877698079828406e-13,-2.0701485230895105e-13,15.664303979124771,-3.87827077899756e-16,-5.049006123956291,-5.914152086163645e-15,5.625000000000288,2.0701485230895105e-13,-14.258053979124627,3.3449031209815786e-15
35,5.049006123956268,1.1195164294146946e-14,-5.62500000000043,-2.1656938395397956e-13,14.258053979124666,-2.1276752820951238e-15,-5.049006123956268,-1.1195164294146946e-14,10.00000000000043,2.1656938395397956e-13,-10.351803979124451,7.725257429168597e-15
36,5.049006123956204,1.5908371953238018e-14,-10.000000000000588,-2.1975422783565573e-13,10.351803979124359,-5.78288894589921e-15,-5.049006123956204,-1.5908371953238018e-14,13.125000000000588,2.1975422783565573e-13,-4.570553979124065,1.3737074922518219e-14
37,5.049006123956176,1.8228074550112138e-14,-13.125000000000536,-2.133845400723034e-13,4.5705539791242495,-7.405062054049563e-15,-5.049006123956176,-1.8228074550112138e-14,15.000000000000536,2.133845400723034e-13,2.4606960208760187,1.6519099329105632e-14
38,5.049006123956136,1.977286225852839e-14,-15.000000000000401,-2.0383000842727488e-13,-2.4606960208760262,-1.3398984798759445e-14,-5.049006123956136,-1.977286225852839e-14,15.625000000000401,2.0383000842727488e-13,10.116946020876227,2.328541592802364e-14
39,5.049006123955916,9.141242361087243e-15,15.625000000000313,2.324936033623604e-13,-10.116946020876602,1.727426028341736e-14,-5.049006123955916,-9.141242361087243e-15,-15.000000000000313,-2.324936033623604e-13,2.4606960208764463,-1.2703639102873738e-14
40,5.049006123955925,2.7236816354432395e-15,15.00000000000045,2.324936033623604e-13,-2.460696020876438,1.2520081847204502e-14,-5.049006123955925,-2.7236816354432395e-15,-13.12500000000045,-2.324936033623604e-13,-4.570553979123787,-1.1158241029482882e-14
41,5.049006123955919,9.943082940422135e-15,13.124999999999728,2.324936033623604e-13,4.570553979123644,1.263253778146161e-14,-5.049006123955919,-9.943082940422135e-15,-9.999999999999728,-2.324936033623604e-13,-10.351803979123508,-7.660996311250543e-15
42,5.049006123955916,1.0119759717050721e-14,10.000000000000515,2.2930875948068424e-13,10.351803979123295,8.250317579205686e-15,-5.049006123955916,-1.0119759717050721e-14,-5.625000000000515,-2.2930875948068424e-13,-14.258053979123552,-3.190437720680325e-15
43,5.04900612395592,1.1115037107554037e-14,5.62499999999967,2.356784472440366e-13,14.258053979123776,1.5635369753643545e-15,-5.04900612395592,-1.1115037107554037e-14,3.304023721284466e-13,-2.356784472440366e-13,-15.664303979123611,3.993981578412664e-15
44,5.049006123955919,8.095120003281062e-15,-2.5579538487363607e-13,2.3886329112571275e-13,15.664303979123867,-4.6267370168198765e-15,-5.049006123955919,-8.095120003281062e-15,5.625000000000256,-2.3886329112571275e-13,-14.258053979123739,8.674297018460407e-15
45,5.049006123955915,2.9681427430866727e-15,-5.625000000000227,2.547875105340936e-13,14.258053979123819,-1.0885510110104458e-14,-5.049006123955915,-2.9681427430866727e-15,10.000000000000227,-2.547875105340936e-13,-10.351803979123705,1.2369581481647795e-14
46,5.049006123955914,2.4021053113332214e-15,-10.000000000000076,2.547875105340936e-13,10.351803979123783,-1.3135746507940125e-14,-5.049006123955914,-2.4021053113332214e-15,13.125000000000076,-2.547875105340936e-13,-4.570553979123745,1.4336799163606736e-14
47,5.049006123955857,3.458966218409232e-15,-13.125000000000103,2.6115719829744593e-13,4.570553979123961,-1.3015628137645357e-14,-5.049006123955857,-3.458966218409232e-15,15.000000000000103,-2.6115719829744593e-13,2.460696020876091,1.4745111246849973e-14
48,5.049006123955853,7.077060202958707e-16,-14.999999999999922,2.547875105340936e-13,-2.4606960208769446,-2.1359401983120728e-14,-5.049006123955853,-7.077060202958707e-16,15.624999999999922,-2.547875105340936e-13,10.116946020876906,2.1713254993268663e-14
