node,ux,uy,uz,rx,ry,rz
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0812212419965553e-05,5.049006123928926e-06,-4.999999999999973e-05,-0.00045216654843428805,0.0008081127653140763,1.6226942353585276e-18
6,-1.0812212419955016e-05,5.049006123950815e-06,-5.000000000000017e-05,-0.00045216654843427114,-0.0008081127653140572,1.308688963224243e-18
7,-1.081221241995742e-05,-5.049006123960995e-06,-5.000000000000082e-05,0.0004521665484342713,-0.0008081127653141398,2.30520737487741e-18
8,1.0812212419965146e-05,-5.0490061239835795e-06,-5.000000000000183e-05,0.00045216654843431396,0.0008081127653141477,1.2613329599462181e-18
9,9.010177016638828e-06,5.049006123930027e-06,-0.0005082105382689461,-0.0004521665484342866,0.0009977762627617105,2.7326818467703963e-18
10,9.010177016638264e-06,-5.049006123982702e-06,-0.0005082105382689898,0.00045216654843431076,0.0009977762627618031,2.2222480387570368e-18
11,7.2081416133121026e-06,5.049006123931617e-06,-0.0010214090752617123,-0.00045216654843428507,0.0010296272602093551,3.584094794313861e-18
12,7.208141613311383e-06,-5.049006123981386e-06,-0.0010214090752618035,0.0004521665484343077,0.0010296272602094505,3.019026408288932e-18
13,5.406106209985377e-06,5.049006123933565e-06,-0.0015138143609783026,-0.00045216654843428355,0.0009177282576570077,4.1661959435149375e-18
14,5.406106209984502e-06,-5.0490061239797034e-06,-0.0015138143609784401,0.0004521665484343047,0.0009177282576570943,3.684256127224347e-18
15,3.6040708066586496e-06,5.049006123935751e-06,-0.0019190201454187211,-0.0004521665484342821,0.0006855167551046659,4.544986942623186e-18
16,3.6040708066576204e-06,-5.049006123977722e-06,-0.001919020145418898,0.0004521665484343017,0.0006855167551047378,4.213639261438194e-18
17,1.8020354033319218e-06,5.049006123938073e-06,-0.0021846826785829696,-0.0004521665484342807,0.00036580525255232825,4.718782000392855e-18
18,1.802035403330739e-06,-5.049006123975523e-06,-0.002184682678583176,0.0004521665484342987,0.0003658052525523708,4.556912749746064e-18
19,5.192780319239142e-18,5.049006123940441e-06,-0.002277110554221051,-0.0004521665484342793,-1.937836089475336e-18,4.721448254649279e-18
20,3.856535059213708e-18,-5.049006123973192e-06,-0.002277110554221268,0.0004521665484342957,-1.6047327917060382e-18,4.740402227092827e-18
21,-1.8020354033215363e-06,5.0490061239427635e-06,-0.002184682678582969,-0.0004521665484342781,-0.0003658052525523284,4.540909435284848e-18
22,-1.8020354033230248e-06,-5.049006123970803e-06,-0.0021846826785831734,0.0004521665484342925,-0.0003658052525523724,4.785748085877508e-18
