caso,nodo,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
G,1,1.628907188464737e-13,-4.0343742408792657e-13,-4.572029778156469e-12,1.2710418534262052e-13,1.8646316436935796e-13,-4.2789659891460587e-16
G,101,-1.1784077071320966e-13,4.9148515491728115e-14,-8.195491001246467e-12,2.2123934915081424e-13,1.0166364007223807e-13,2.0159129912275551e-16
G,201,-9.389093504350208e-14,-1.0312061747649381e-14,-3.357169058849256e-11,1.3611921268841754e-14,-1.2393603302098827e-13,-8.304256311977317e-24
G,1001,3.141839023980614e-13,5.759144707178913e-13,-1.0529000785097986e-11,-1.1433083568281989e-14,5.557850806109141e-13,7.288578655162666e-16
G,1101,7.803129354889147e-14,-3.401828749895187e-15,-3.3846862653297706e-11,4.490413761228321e-15,1.030013071444064e-13,-8.304255362162232e-24
G,1201,-9.63749428691938e-15,-4.6375120317018565e-15,-3.4105896635926136e-11,6.121515688209729e-15,-1.2721491845316906e-14,-8.304256311977318e-24
G,2001,3.337117032612434e-13,-1.036896658603686e-13,-5.947460035846201e-12,5.310328876232297e-14,4.0580855414731157e-13,2.8037345669608746e-16
G,2101,3.944862445439336e-16,-1.715358570249737e-13,-7.589032744829808e-12,9.176134355867272e-15,1.0487884412944154e-13,2.155624568350299e-17
G,2201,-4.806928835352625e-15,-7.335214163955595e-15,-2.5219537368310287e-11,9.682482481667845e-15,-6.345145442262351e-15,-8.304256311977318e-24
G,100001,6.415360435808553e-13,3.380538690137586e-13,-0.00016421502962481337,-4.283972335665557e-06,-1.6067545972532804e-06,-6.57626250758154e-15
G,100101,1.6707273470822736e-12,-6.344162304827174e-13,-0.000271002688609619,7.833582052617068e-06,1.5918319045202938e-05,-6.9462719470978245e-15
G,100201,1.0307718588413385e-12,2.4681335632432413e-13,-0.0008979726047231228,-4.491036033571294e-06,4.089071385426458e-05,-6.575655876216708e-15
G,100301,3.062863491148482e-13,5.702139904435814e-14,-3.046171730606782e-11,3.3999108428639396e-14,-5.627875089789871e-14,-3.287827944336546e-15
G,100401,5.625056369031421e-13,-3.170337809425418e-13,-2.0877314290271972e-11,-1.1585128968682745e-12,1.3503487663489242e-12,-4.5726027269203625e-15
G,100451,3.035408756387247e-13,1.6599870462065e-14,-9.635497535548819e-12,1.0496431667259794e-14,-6.352680104367213e-14,-3.287827944336562e-15
G,101001,7.756309143509905e-13,3.3960809763380994e-13,-0.000357935699819645,-3.2877142348460233e-06,-6.603950363176038e-05,-6.5770365070215404e-15
G,101101,4.152301416592989e-14,2.2527287416129712e-13,-0.0009053854034787599,-1.4815404153779525e-06,-3.3983634864388365e-05,-6.575655124113581e-15
G,101201,7.414380169977891e-13,2.2411515744245074e-13,-0.0009123634620453354,-2.019696423402146e-06,4.197253452822486e-06,-6.575655876216709e-15
G,101301,3.427078701997536e-13,7.824907261280594e-14,-3.4001224156614934e-11,-2.2041949555813e-14,-2.306343318734559e-14,-3.2878279443365313e-15
G,101401,5.993915858921707e-13,3.373680238504889e-14,-2.5762910467740874e-11,8.660102181620036e-15,6.545815743943653e-13,-3.2878279443365317e-15
G,101451,3.2236272040166396e-13,2.085565749929415e-14,-1.4561145489332677e-11,-7.388460816074329e-16,-7.677462844954917e-14,-3.2878279443365317e-15
G,102001,1.2240378150472272e-12,3.5371643186371883e-13,-0.0002024327825224823,5.091475961068334e-07,-6.807179721258016e-06,-6.575963473986655e-15
G,102101,1.3139997450693399e-12,1.6820992830689714e-12,-0.0002658460949437061,-2.8604861386713696e-05,7.904456721180587e-06,-6.6044970190051025e-15
G,102201,7.806469704099429e-13,2.349059660073713e-13,-0.0006729758157456512,-3.194580505770821e-06,2.0934799078176816e-06,-6.575655876216709e-15
G,102301,1.9372168620620898e-14,9.641308427293098e-14,-2.717159427284191e-11,-9.218234278017618e-14,1.3476486586337603e-12,-3.89021434227405e-15
G,102401,6.656904141967364e-13,4.136787438578818e-13,-2.1514760304326287e-11,1.1962890912199375e-12,1.6523201345536873e-12,-3.1627696901760126e-15
G,102451,6.951529377259691e-13,2.8175152318477557e-14,-1.3175260195111985e-11,-2.3452176985219656e-14,-9.4688831479329e-13,-3.963352878019652e-15
G,200001,-2.3579280401472694e-05,1.6520926177306587e-06,-0.0004465673174999125,-1.1626432585257585e-06,-5.533586708155027e-05,4.803419079611592e-10
G,200101,-2.3579280778721324e-05,1.6568966051276763e-06,-0.0010188089162888598,0.0002947604339086779,0.00023063474151832313,4.803428184398685e-10
G,200201,-2.357928015092579e-05,1.6616995985648737e-06,-0.0017831298456545551,1.670528078061497e-05,-0.0001814259462454214,4.803428184414502e-10
G,200301,-2.357928012344931e-05,1.6665029488901676e-06,-0.0008141937295151768,-1.2479964547801092e-05,7.051830193875534e-07,4.803428184411449e-10
G,200401,-2.3579280362046705e-05,1.671329909569857e-06,-0.00032331371527143717,6.879146275625502e-06,-7.592657312526939e-05,4.803452572506616e-10
G,200451,-2.357928037545057e-05,1.6737079986804692e-06,-0.0002531608495647718,-4.731090437709051e-06,3.096561117504249e-06,4.803428184164015e-10
G,201001,-2.3582762925148135e-05,1.6520925873561197e-06,-0.0006359651370477731,-1.6231339278300813e-07,-4.954617829850559e-05,4.803428173617326e-10
G,201101,-2.358276344059983e-05,1.656895975456487e-06,-0.0017045625165281353,-2.1313925199033296e-05,0.0002701672730514442,4.803428184410293e-10
G,201201,-2.3582762752202964e-05,1.6616994626113952e-06,-0.001811911559764774,6.819922454722744e-06,-3.465474314899683e-05,4.803428184410414e-10
G,201301,-2.3582762868908237e-05,1.666502883370885e-06,-0.000909543713518402,6.009886794634777e-06,-1.025631859003279e-05,4.803428184647924e-10
G,201401,-2.3582762340973272e-05,1.6713062900977086e-06,-0.0006876136222328688,-4.1234033881050365e-06,-0.00023383445661441906,4.803428184640579e-10
G,201451,-2.3582762834431794e-05,1.6737080089925968e-06,-0.0003858517789596993,-1.0241901427558618e-06,7.464831765406994e-06,4.803428184640922e-10
G,202001,-2.3587037332019623e-05,1.652092595986439e-06,-0.0005281234266891913,5.985786005804183e-06,-0.0002193457127009857,4.80342818433573e-10
G,202101,-2.358703832943552e-05,1.6568961205236113e-06,-0.0008892736677781995,2.6243924069463278e-05,0.00019977711659670706,4.803428184407597e-10
G,202201,-2.3587037849958288e-05,1.6616994801466785e-06,-0.001333136276051765,1.151945876530846e-05,-2.6242887689434184e-05,4.803428184409399e-10
G,202301,-2.3587078567894005e-05,1.6665028807800152e-06,-0.0004381148727608041,3.7263715432087185e-06,-3.039829697252617e-05,4.803423370888887e-10
G,202401,-2.358707792522867e-05,1.6713307308275735e-06,-0.00033372888084424155,-1.0096534617742452e-05,-9.003641781378386e-05,4.803391974266759e-10
