losa_id,area_neta_m2,espesor_m,densidad_kg_m3,masa_propia_kg,peso_propio_kN,G_losa_kN,adicional_G_kN,Q_losa_kN
1000000,15.99375,0.15,2500.0,5997.65625,58.81691566406249,99.596644,40.779728335937506,73.404766980615
1000001,28.575,0.15,2500.0,10715.625,105.08438390625,177.94289,72.85850609375001,109.22822897434
1000002,15.99375,0.15,2500.0,5997.65625,58.81691566406249,99.596645,40.7797293359375,70.44796884244
1000003,15.99375,0.15,2500.0,5997.65625,58.81691566406249,99.596643,40.77972733593751,78.42255421875
1000004,11.19375,0.15,2500.0,4197.65625,41.1649456640625,69.705974,28.541028335937497,54.88659421875
1000005,17.38125,0.15,2500.0,6517.968750000001,63.9194382421875,108.236915,44.31747675781249,85.22591765624999
1000006,15.99375,0.15,2500.0,5997.65625,58.81691566406249,99.596643,40.77972733593751,75.11280984375
1000007,27.1875,0.15,2500.0,10195.3125,99.981861328125,169.302619,69.32075767187499,133.3091484375
1000008,33.375,0.15,2500.0,12515.625,122.73635390624999,207.83356,85.09720609375002,160.33872259667498
1000009,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,177.74553125
1000010,44.5,0.15,2500.0,16687.5,163.64847187499998,277.11141200000003,113.46294012500005,213.78497
1000011,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,177.74553125
1000012,44.5,0.15,2500.0,16687.5,163.64847187499998,277.11141200000003,113.46294012500005,213.78497
1000013,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,177.74553125
1000014,44.5,0.15,2500.0,16687.5,163.64847187499998,277.11141200000003,113.46294012500005,213.78497
1000015,38.7875,0.15,2500.0,14545.3125,142.64078882812498,241.53840300000002,98.89761417187503,190.1877184375
1000016,41.1536,0.15,2500.0,15432.599999999999,151.34210679,256.232095,104.88998821000001,197.054800583375
1000017,57.5015,0.15,2500.0,21563.0625,211.461406865625,358.07465,146.613243134375,140.974242493
1000018,83.6,0.15,2500.0,31349.999999999996,307.4384774999999,520.595822,213.15734450000008,315.86238985
1000019,15.99375,0.15,2500.0,5997.65625,58.81691566406249,99.596645,40.7797293359375,73.404768941945
1000020,28.575,0.15,2500.0,10715.625,105.08438390625,177.94289,72.85850609375001,109.22822897434
1000021,15.99375,0.15,2500.0,5997.65625,58.81691566406249,99.59664599999999,40.7797303359375,70.447973745765
1000022,15.99375,0.15,2500.0,5997.65625,58.81691566406249,99.596643,40.77972733593751,78.42255421875
1000023,11.19375,0.15,2500.0,4197.65625,41.1649456640625,69.705974,28.541028335937497,54.88659421875
1000024,17.38125,0.15,2500.0,6517.968750000001,63.9194382421875,108.236915,44.31747675781249,85.22591765624999
1000025,15.99375,0.15,2500.0,5997.65625,58.81691566406249,99.596643,40.77972733593751,75.11280984375
1000026,27.1875,0.15,2500.0,10195.3125,99.981861328125,169.302619,69.32075767187499,133.3091484375
1000027,33.375,0.15,2500.0,12515.625,122.73635390624999,207.83356,85.09720609375002,160.33872259667498
1000028,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,177.74553125
1000029,44.5,0.15,2500.0,16687.5,163.64847187499998,277.11141200000003,113.46294012500005,213.78497
1000030,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,177.74553125
1000031,44.5,0.15,2500.0,16687.5,163.64847187499998,277.11141200000003,113.46294012500005,213.78497
1000032,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,177.74553125
1000033,44.5,0.15,2500.0,16687.5,163.64847187499998,277.11141200000003,113.46294012500005,213.78497
1000034,38.7875,0.15,2500.0,14545.3125,142.64078882812498,241.538404,98.89761517187503,190.1877184375
1000035,41.1536,0.15,2500.0,15432.599999999999,151.34210679,256.232095,104.88998821000001,197.05479568004998
1000036,57.5015,0.15,2500.0,21563.0625,211.461406865625,358.07465,146.613243134375,140.974242493
1000037,82.7,0.15,2500.0,31012.5,304.128733125,514.991321,210.86258787499997,312.4202557
1000038,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,139.530241125
1000039,44.5,0.15,2500.0,16687.5,163.64847187499998,277.111412,113.46294012499999,157.887065
1000040,30.8588,0.15,2500.0,11572.049999999997,113.48304413249997,192.164622,78.68157786750004,120.956643033
1000041,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,142.196425
1000042,44.5,0.15,2500.0,16687.5,163.64847187499998,277.111412,113.46294012499999,157.887065
1000043,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,142.196425
1000044,44.5,0.15,2500.0,16687.5,163.64847187499998,277.111412,113.46294012499999,157.887065
1000045,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,142.196425
1000046,44.5,0.15,2500.0,16687.5,163.64847187499998,277.111412,113.46294012499999,157.887065
1000047,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,142.196425
1000048,44.5,0.15,2500.0,16687.5,163.64847187499998,277.111412,113.46294012499999,157.887065
1000049,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,144.329371375
1000050,44.5,0.15,2500.0,16687.5,163.64847187499998,277.111412,113.46294012499999,157.887065
1000051,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,177.74553125
1000052,44.5,0.15,2500.0,16687.5,163.64847187499998,277.111412,113.46294012499999,157.887065
1000053,15.99375,0.15,2500.0,5997.65625,58.81691566406249,99.596643,40.77972733593751,73.40476207729
1000054,28.575,0.15,2500.0,10715.625,105.08438390625,177.94289,72.85850609375001,109.22822897434
1000055,15.99375,0.15,2500.0,5997.65625,58.81691566406249,99.596644,40.779728335937506,70.447973745765
1000056,15.99375,0.15,2500.0,5997.65625,58.81691566406249,99.596643,40.77972733593751,78.42255421875
1000057,11.19375,0.15,2500.0,4197.65625,41.1649456640625,69.705974,28.541028335937497,54.88659421875
1000058,17.38125,0.15,2500.0,6517.968750000001,63.9194382421875,108.236915,44.31747675781249,85.22591765624999
1000059,15.99375,0.15,2500.0,5997.65625,58.81691566406249,99.596643,40.77972733593751,75.11280984375
1000060,27.1875,0.15,2500.0,10195.3125,99.981861328125,169.302619,69.32075767187499,133.3091484375
1000061,33.375,0.15,2500.0,12515.625,122.73635390624999,207.83356,85.09720609375002,160.33872259667498
1000062,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,177.74553125
1000063,44.5,0.15,2500.0,16687.5,163.64847187499998,277.11141200000003,113.46294012500005,213.78497
1000064,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,177.74553125
1000065,44.5,0.15,2500.0,16687.5,163.64847187499998,277.11141200000003,113.46294012500005,213.78497
1000066,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,177.74553125
1000067,44.5,0.15,2500.0,16687.5,163.64847187499998,277.11141200000003,113.46294012500005,213.78497
1000068,38.7875,0.15,2500.0,14545.3125,142.64078882812498,241.538404,98.89761517187503,190.1877184375
1000069,41.1536,0.15,2500.0,15432.599999999999,151.34210679,256.232095,104.88998821000001,197.05479568004998
1000070,57.5015,0.15,2500.0,21563.0625,211.461406865625,358.07465,146.613243134375,140.974242493
1000071,82.7,0.15,2500.0,31012.5,304.128733125,514.991321,210.86258787499997,312.4202557
1000072,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,139.530241125
1000073,44.5,0.15,2500.0,16687.5,163.64847187499998,277.111412,113.46294012499999,157.887065
1000074,30.8588,0.15,2500.0,11572.049999999997,113.48304413249997,192.164622,78.68157786750004,149.38249292249998
1000075,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,142.196425
1000076,44.5,0.15,2500.0,16687.5,163.64847187499998,277.111412,113.46294012499999,157.887065
1000077,12.3,0.15,2500.0,4612.5,45.23317312499999,76.594842,31.361668875000007,59.08506625
1000078,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,142.196425
1000079,44.5,0.15,2500.0,16687.5,163.64847187499998,277.111412,113.46294012499999,157.887065
1000080,12.3,0.15,2500.0,4612.5,45.23317312499999,76.594842,31.361668875000007,59.08506625
1000081,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,142.196425
1000082,44.5,0.15,2500.0,16687.5,163.64847187499998,277.111412,113.46294012499999,157.887065
1000083,36.25,0.15,2500.0,13593.75,133.3091484375,225.73682399999998,92.42767556249999,142.196425
