bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,2.4427452483553704e-11,2.9724239292602714e-11,0.0,0.0,3.09481289269062e-11,2.183944689762811e-11,-7.903031328716996e-13
LT2,3.96,0.00035990986614005817,-4.2807855289409054e-07,-31.679999999999996,0.0,0.0003599098637789805,-4.2807459719537465e-07,2.8381320081145086e-13
LT1,7.92,0.0007040640768893239,-3.4274314837651994e-06,0.0,0.0,0.0007039805982284957,-3.201907250880838e-06,1.0529329669304718e-08
LT2,7.92,0.001187568040512794,-3.754419694247859e-06,-32.05,0.07599999999999985,0.001187568051597738,-3.754438611296348e-06,-1.3421635172016126e-12
LT1,11.88,0.002241106331946804,2.022254272554094e-06,0.0,0.0,0.002233575740789812,2.2832298012312938e-05,1.0022447041092957e-06
LT2,11.88,0.0023825209327169965,-9.891251416547275e-06,-32.05,0.6589999999999998,0.0023825209580804656,-9.891297985079783e-06,-3.3039690621761224e-12
LT1,15.84,0.003531907274963474,-1.5254096568438667e-05,0.0,0.0,0.00353190738630419,-1.5254449111583346e-05,-1.4809831328676608e-11
LT2,15.84,0.0035319072595457004,-1.5254054630363896e-05,-32.05,1.2419999999999998,0.0035319072690916213,-1.5254073779806237e-05,-1.3411307379962189e-12
LT1,19.8,0.004543653633656068,-6.345729898875851e-05,0.0,0.0,0.0045436438082208045,-6.342219094396594e-05,1.4238889119555867e-09
LT2,19.8,0.004275400989179749,-1.767343147689008e-05,-32.05,1.825,0.004275400995691691,-1.767344546905143e-05,-1.0142937149927252e-12
