bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,6.973675250095079e-12,8.771318979626796e-12,0.0,0.0,9.002967608471877e-12,7.862055637855108e-12,-2.3320036005342796e-13
LT2,3.96,0.00010959648344458566,-1.2779940438943867e-07,-31.679999999999996,0.0,0.00010959648116069603,-1.277952550533382e-07,2.834739103327546e-13
LT1,7.92,0.00020725089459737046,-1.002594312608736e-06,0.0,0.0,0.00020722711098779172,-9.33526333277791e-07,3.1522743264961134e-09
LT2,7.92,0.0003543191501218,-1.100095790900482e-06,-32.05,0.07599999999999985,0.00035431915255198316,-1.1001001975852735e-06,-3.033977421283359e-13
LT1,11.88,0.000657620660764982,1.5801715721619938e-07,0.0,0.0,0.0006549353291304441,8.278836776239251e-06,3.7470476988392915e-07
LT2,11.88,0.0007018810771079965,-2.82881197261491e-06,-32.05,0.6589999999999998,0.000701881082827854,-2.8288231581116913e-06,-7.700907560952873e-13
LT1,15.84,0.0010313368671295267,-4.29007191060744e-06,0.0,0.0,0.0010313368855364676,-4.290128874873205e-06,-2.387932546474586e-12
LT2,15.84,0.0010313368651813104,-4.290068190020029e-06,-32.05,1.2419999999999998,0.0010313368660181898,-4.290069966359022e-06,-1.209723127545124e-13
LT1,19.8,0.0013325711553620779,-1.780155348673464e-05,0.0,0.0,0.0013325703667344455,-1.7798945220082256e-05,1.0150161989470631e-10
LT2,19.8,0.0012403272433466205,-4.947950429666945e-06,-32.05,1.825,0.0012403272453059676,-4.947954587993338e-06,-2.949205781335213e-13
