bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,2.7914300927296942e-11,3.4109908925312135e-11,0.0,0.0,3.542365962173284e-11,2.5420605510851387e-11,-9.069035977465687e-13
LT2,3.96,0.0004147082986766425,-4.919697360363529e-07,-31.679999999999996,0.0,0.0004147082951526697,-4.919637617593204e-07,4.2554446316056216e-13
LT1,7.92,0.0008076898962261204,-3.928739275869434e-06,0.0,0.0,0.0008075944957011782,-3.66871989467753e-06,1.2105458324043843e-08
LT2,7.92,0.0013647284071690432,-4.304449240763856e-06,-32.05,0.07599999999999985,0.0013647284194534984,-4.3044703874376444e-06,-1.4938408660372157e-12
LT1,11.88,0.002569918065233001,2.101409014178419e-06,0.0,0.0,0.002561033425084577,2.694102695303218e-05,1.1895716532339801e-06
LT2,11.88,0.0027334632302833187,-1.130563258475471e-05,-32.05,0.6589999999999998,0.0027334632584708617,-1.1305684806469563e-05,-3.688960622759928e-12
LT1,15.84,0.004047578421428191,-1.7399102711967377e-05,0.0,0.0,0.00404757854207532,-1.739948376076347e-05,-1.600362617888202e-11
LT2,15.84,0.004047578405036666,-1.739905891484921e-05,-32.05,1.2419999999999998,0.004047578414972736,-1.739907900868267e-05,-1.4015771953972623e-12
LT1,19.8,0.005209942662503536,-7.235802940650189e-05,0.0,0.0,0.0052099322974584125,-7.232144457274082e-05,1.4745633044322622e-09
LT2,19.8,0.00489556792662272,-2.0147376036618492e-05,-32.05,1.825,0.004895567934100746,-2.0147392089208745e-05,-1.1617149435113216e-12
