bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,-7.318631554788783e-12,4.798643582253322e-11,0.0,0.0,-2.1476697778826406e-13,3.939645319139605e-11,-8.609852795906181e-13
LT2,3.96,7.165152074500938e-08,0.000478315603567276,-31.679999999999996,0.0,7.224282494776682e-08,0.00047831461290893647,-7.107768676279416e-11
LT1,7.92,-1.4815152092184332e-06,0.00036740520897920857,0.0,0.0,-1.347323592864688e-06,0.0003670426796688743,-1.692585570284458e-08
LT2,7.92,2.782037516822049e-07,0.0011006813345839606,-32.05,0.07599999999999985,2.7835305026421684e-07,0.0011006810797979602,-1.8077052284076852e-11
LT1,11.88,7.814850019165758e-05,0.0012060988543738573,0.0,0.0,1.4203781882630106e-06,0.0014181294296199628,1.0211728711730212e-05
LT2,11.88,3.160378869532381e-07,0.0016841305692738688,-32.05,0.6589999999999998,3.1595706037052483e-07,0.001684130717675309,1.0528864474846805e-11
LT1,15.84,-2.1530591805187198e-05,0.0021725841087055185,0.0,0.0,-2.153477659707151e-05,0.0021725973592012994,5.566343027671037e-10
LT2,15.84,-2.1529706994989235e-05,0.002172580832067349,-32.05,1.2419999999999998,-2.1530443162543306e-05,0.0021725823088445373,1.0342605517941239e-10
LT1,19.8,-3.311645288549105e-05,0.003238431294530906,0.0,0.0,-3.324020354554303e-05,0.0032388734778642527,1.7933779825201913e-08
LT2,19.8,-4.368162277034981e-05,0.00234129923509142,-32.05,1.825,-4.368189508332525e-05,0.002341299820208264,4.241520108799886e-11
