bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,-1.7177364271305257e-12,1.1679430849715231e-11,0.0,0.0,2.145512472240841e-14,1.0900152735405566e-11,-1.9986282135236633e-13
LT2,3.96,-1.9397305689708187e-08,0.00014555581782445484,-31.679999999999996,0.0,-1.9229825676099602e-08,0.0001455555135493023,-2.0787438091445215e-11
LT1,7.92,-5.201047979053642e-07,0.00010630818337904918,0.0,0.0,-4.837161818384322e-07,0.00010620251026101076,-4.822939084364823e-09
LT2,7.92,-7.450112570817224e-08,0.00033217898316695755,-32.05,0.07599999999999985,-7.446330162806489e-08,0.0003321789145800294,-4.722170999464968e-12
LT1,11.88,2.4109503579519012e-05,0.00035171452222023135,0.0,0.0,1.2420174947593264e-06,0.00042086900848419933,3.1908744532733238e-06
LT2,11.88,-2.0629459052452764e-07,0.0005040009330360457,-32.05,0.6589999999999998,-2.0632288289755993e-07,0.0005040009883633426,3.809132551654722e-12
LT1,15.84,-6.857454394649326e-06,0.0006444231400037759,0.0,0.0,-6.858659789356237e-06,0.0006444268703587939,1.5637586191509188e-10
LT2,15.84,-6.8571954850843575e-06,0.0006444221810913285,-32.05,1.2419999999999998,-6.8574048329097646e-06,0.000644422625447708,3.026157682660841e-11
LT1,19.8,-9.94350089507267e-06,0.0009864453141203721,0.0,0.0,-9.997025513901389e-06,0.0009866223387041504,6.88897433023639e-09
LT2,19.8,-1.3541779179965391e-05,0.0006860183718191413,-32.05,1.825,-1.3541860135718985e-05,0.0006860185436317024,1.2185445552832588e-11
