bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,-8.177498414347034e-12,5.382613645194308e-11,0.0,0.0,-2.209005917712783e-13,4.4619319273476675e-11,-9.609165688759958e-13
LT2,3.96,6.195263844066449e-08,0.0005510930216862632,-31.679999999999996,0.0,6.262730961901e-08,0.000551091877899767,-8.147128228013286e-11
LT1,7.92,-1.741563273364174e-06,0.0004205589617503783,0.0,0.0,-1.5891701067233703e-06,0.00042014360578759104,-1.933730583511242e-08
LT2,7.92,2.4095466599890106e-07,0.0012667696018205878,-32.05,0.07599999999999985,2.4112273737634453e-07,0.0012667693124996094,-2.0438178841243327e-11
LT1,11.88,9.020305701508923e-05,0.0013819548930020299,0.0,0.0,2.0182217926361165e-06,0.0016285014698282237,1.1807138890633348e-05
LT2,11.88,2.1290642370698557e-07,0.0019361289396795313,-32.05,0.6589999999999998,2.1281141961378524e-07,0.001936129115689079,1.2433377431400909e-11
LT1,15.84,-2.4959248203120664e-05,0.002494792828487243,0.0,0.0,-2.4964033951985127e-05,0.0024948079436736765,6.348210407394129e-10
LT2,15.84,-2.4958233939784103e-05,0.0024947890723989352,-32.05,1.2419999999999998,-2.4959074412399236e-05,0.002494790772096689,1.1855665148997564e-10
LT1,19.8,-3.808811644358496e-05,0.0037316489130934027,0.0,0.0,-3.8238389282776196e-05,0.0037321793214780425,2.137827782574957e-08
LT2,19.8,-5.045240202912304e-05,0.002684305328200129,-32.05,1.825,-5.0452714276472046e-05,0.0026843059984810957,4.8507773687251156e-11
