bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,2.6027961502366288e-11,1.2550316780056154e-11,0.0,0.0,2.976297354705988e-11,8.228422696470088e-12,-4.5107658307349566e-13
LT2,3.96,0.0003264582451931943,-0.0001399895819174396,-31.679999999999996,0.0,0.00032645811528394153,-0.0001399893616791163,1.5687454490841062e-11
LT1,7.92,0.0006359911854602169,-0.0001014539547784303,0.0,0.0,0.0006358751818462771,-0.0001011377805442645,1.4719802798107328e-08
LT2,7.92,0.0011104145363461857,-0.00031130728137512164,-32.05,0.07599999999999985,0.0011104145750785227,-0.00031130734804963694,-4.710013340176234e-12
LT1,11.88,0.002108327297460481,-0.00033611230013834117,0.0,0.0,0.0021205605462050773,-0.0003703139357578371,-1.6379195657253107e-06
LT2,11.88,0.002285360247746418,-0.00044821696105954085,-32.05,0.6589999999999998,0.0022853603985619423,-0.00044821724046826243,-1.9737532068476387e-11
LT1,15.84,0.0035442826121563176,-0.0005297750872010982,0.0,0.0,0.003544283171467568,-0.0005297768537154022,-7.419163858012736e-11
LT2,15.84,0.003544282529117849,-0.0005297747765397365,-32.05,1.2419999999999998,0.003544282598087397,-0.0005297749160176724,-9.728810315074904e-12
LT1,19.8,0.004914679052601348,-0.000737119690178891,0.0,0.0,0.004914789941607574,-0.0007375110879789435,-1.5775412214856147e-08
LT2,19.8,0.004567199073857917,-0.0005619842492249528,-32.05,1.825,0.004567199138541494,-0.0005619843880769587,-1.0048624402881313e-11
