nodo,x_m,y_m,z_m
1,0.0,0.0,0.0
101,10.0,0.0,0.0
201,20.0,0.0,0.0
1001,0.0,7.25,0.0
1101,10.0,7.25,0.0
1201,20.0,7.25,0.0
2001,0.0,16.15,0.0
2101,10.0,16.15,0.0
2201,20.0,16.15,0.0
100301,30.0,0.0,3.96
100401,40.0,0.0,3.96
100451,45.0,0.0,3.96
101301,30.0,7.25,3.96
101401,40.0,7.25,3.96
101451,45.0,7.25,3.96
102301,30.0,16.15,3.96
102401,40.0,16.15,3.96
102451,45.0,16.15,3.96
400501,50.0,0.0,15.84
401501,50.0,7.25,15.84
402501,50.0,16.15,15.84
700001,-20.8,16.15,0.0
700002,-10.8,16.15,0.0
700003,-0.8,16.15,0.0
700004,-28.3,7.25,0.0
700005,-20.8,7.25,0.0
700006,-10.8,7.25,0.0
700007,-20.8,0.0,0.0
700008,-10.8,0.0,0.0
3000000,-32.05,-1.09,0.0
3000001,-32.05,1.825,0.0
3000011,-32.05,0.0,0.0
3000012,-30.2,0.0,0.0
3000017,-32.05,14.325,0.0
3000018,-32.05,17.245,0.0
3000029,-32.05,16.15,0.0
3000030,-30.2,16.15,0.0
3000035,-0.575,-0.35,0.0
3000036,-0.575,1.6374999999999997,0.0
3000037,-0.575,3.6249999999999996,0.0
3000038,-0.575,5.6125,0.0
3000039,-0.575,7.6,0.0
3000065,-0.575,9.65,0.0
3000066,-0.575,11.816666666666666,0.0
3000067,-0.575,13.983333333333333,0.0
3000068,-0.575,16.15,0.0
3000092,-0.575,13.045,0.0
3000093,-3.2200000000000006,13.045,0.0
3000102,-3.22,10.1,0.0
3000127,3.6,10.0,0.0
3000128,3.6,12.25,0.0
3000139,6.4,10.0,0.0
3000140,6.4,12.25,0.0
3000146,-0.25,0.0,0.0
3000147,-0.25,1.8125,0.0
3000148,-0.25,3.625,0.0
3000149,-0.25,5.4375,0.0
3000150,-0.25,7.25,0.0
3000166,3.3,2.305,0.0
3000167,5.0,2.305,0.0
3000168,6.7,2.305,0.0
3000184,3.3,3.885,0.0
3000190,6.7,3.885,0.0
3000196,-0.25,16.4,0.0
3000197,2.215,16.4,0.0
3000198,4.68,16.4,0.0
3000202,6.48,16.4,0.0
3000203,8.365,16.4,0.0
3000204,10.25,16.4,0.0
3000208,10.25,-0.25,0.0
3000209,10.25,1.8312499999999998,0.0
3000210,10.25,3.9124999999999996,0.0
3000211,10.25,5.9937499999999995,0.0
3000212,10.25,8.075,0.0
3000213,10.25,10.15625,0.0
3000214,10.25,12.237499999999999,0.0
3000215,10.25,14.318749999999998,0.0
3000224,-0.25,-0.25,0.0
3000225,1.85,-0.25,0.0
3000226,3.95,-0.25,0.0
3000227,6.05,-0.25,0.0
3000228,8.15,-0.25,0.0
3000234,-0.25,1.8312499999999998,0.0
3000235,-0.25,3.9124999999999996,0.0
3000236,-0.25,5.9937499999999995,0.0
3000237,-0.25,8.075,0.0
3000238,-0.25,10.15625,0.0
3000239,-0.25,12.237499999999999,0.0
3000240,-0.25,14.318749999999998,0.0
