caso,elemento,tipo,eje,x_m,y_m,z_inferior_m,z_superior_m,nodo_inferior,nodo_superior,elementos_superiores,elementos_inferiores,P_compresion_kN,P_superior_kN,aporte_neto_nudo_kN,continuidad_nodal
G,1,COLUMN,E,0.0,0.0,0.0,3.96,1,100001,18,,603.5642923037101,1028.6241965491731,-425.05990424546303,OK
G,2,COLUMN,F,10.0,0.0,0.0,3.96,101,100101,19,,1005.2761139121238,2773.5673047123523,-1768.2911908002284,OK
G,3,COLUMN,G,20.0,0.0,0.0,3.96,201,100201,20,,3328.368007629929,3280.795948479929,47.57205914999986,OK
G,4,COLUMN,E,0.0,7.25,0.0,3.96,1001,101001,24,,1394.5270847362374,1109.6266775056395,284.9004072305979,OK
G,5,COLUMN,F,10.0,7.25,0.0,3.96,1101,101101,25,,3363.8922309178442,2969.378334633598,394.51389628424613,OK
G,6,COLUMN,G,20.0,7.25,0.0,3.96,1201,101201,26,,3387.9367664916667,3340.364707341666,47.57205915000077,OK
G,7,COLUMN,E,0.0,16.15,0.0,3.96,2001,102001,30,,761.2173026391251,1231.4364967799274,-470.2191941408023,OK
G,8,COLUMN,F,10.0,16.15,0.0,3.96,2101,102101,31,,988.0560911022025,2317.0364866862565,-1328.980395584054,OK
G,9,COLUMN,G,20.0,16.15,0.0,3.96,2201,102201,32,,2500.5576200776354,2452.9855609276347,47.57205915000077,OK
G,10,COLUMN,1B,-20.8,16.15,0.0,3.96,700001,701001,36,,3131.475018877609,2475.1436232870265,656.3313955905824,OK
G,11,COLUMN,1C,-10.8,16.15,0.0,3.96,700002,701002,37,,3145.7666355454576,2509.081041142092,636.6855944033655,OK
G,12,COLUMN,1D,-0.8,16.15,0.0,3.96,700003,701003,38,,530.7612189595469,488.73049220270985,42.030726756837055,OK
G,13,COLUMN,2A,-28.3,7.25,0.0,3.96,700004,701004,39,,3459.685322187055,2728.873104620924,730.812217566131,OK
G,14,COLUMN,2B,-20.8,7.25,0.0,3.96,700005,701005,40,,3904.827490432421,3098.0001088771323,806.8273815552889,OK
G,15,COLUMN,2C,-10.8,7.25,0.0,3.96,700006,701006,41,,4162.124477944612,3294.4802909394566,867.6441870051558,OK
G,16,COLUMN,3B,-20.8,0.0,0.0,3.96,700007,701007,42,,2478.7812039798473,1968.1611943779903,510.62000960185696,OK
G,17,COLUMN,3C,-10.8,0.0,0.0,3.96,700008,701008,43,,2529.1324414674023,2018.348445021642,510.7839964457603,OK
G,18,COLUMN,E,0.0,0.0,3.96,7.92,100001,200001,44,1,1028.6241965491731,601.5526671523081,427.071529396865,OK
G,19,COLUMN,F,10.0,0.0,3.96,7.92,100101,200101,45,2,2773.5673047123523,2016.653457146625,756.9138475657273,OK
G,20,COLUMN,G,20.0,0.0,3.96,7.92,100201,200201,46,3,3280.795948479929,2642.675520053577,638.1204284263517,OK
G,21,COLUMN,H,30.0,0.0,3.96,7.92,100301,200301,47,,3019.4548372745758,2523.6776522488567,495.77718502571906,OK
G,22,COLUMN,I,40.0,0.0,3.96,7.92,100401,200401,48,,1143.896312598023,1358.7938545745872,-214.89754197656407,OK
G,23,COLUMN,I_prima,45.0,0.0,3.96,7.92,100451,200451,49,,1557.3211788132644,1383.166405504266,174.1547733089983,OK
G,24,COLUMN,E,0.0,7.25,3.96,7.92,101001,201001,50,4,1109.6266775056395,841.8810705145697,267.74560699106974,OK
G,25,COLUMN,F,10.0,7.25,3.96,7.92,101101,201101,51,5,2969.378334633598,2252.33635728307,717.0419773505282,OK
G,26,COLUMN,G,20.0,7.25,3.96,7.92,101201,201201,52,6,3340.364707341666,2493.655556757759,846.7091505839071,OK
G,27,COLUMN,H,30.0,7.25,3.96,7.92,101301,201301,53,,3375.960691036197,2514.7603313842355,861.2003596519617,OK
G,28,COLUMN,I,40.0,7.25,3.96,7.92,101401,201401,54,,2478.87649193892,1815.722054037589,663.154437901331,OK
G,29,COLUMN,I_prima,45.0,7.25,3.96,7.92,101451,201451,55,,2243.5227224097375,1962.512581248561,281.01014116117653,OK
G,30,COLUMN,E,0.0,16.15,3.96,7.92,102001,202001,56,7,1231.4364967799274,595.6856382293386,635.7508585505889,OK
G,31,COLUMN,F,10.0,16.15,3.96,7.92,102101,202101,57,8,2317.0364866862565,1734.5037587137242,582.5327279725323,OK
G,32,COLUMN,G,20.0,16.15,3.96,7.92,102201,202201,58,9,2452.9855609276347,1835.9893602058278,616.9962007218069,OK
G,33,COLUMN,H,30.0,16.15,3.96,7.92,102301,202301,59,,1623.1419660777601,1878.8240653480104,-255.68209927025032,OK
G,34,COLUMN,I,40.0,16.15,3.96,7.92,102401,202401,60,,1210.5186736644994,1331.3754963131248,-120.85682264862544,OK
G,35,COLUMN,I_prima,45.0,16.15,3.96,7.92,102451,202451,61,,1151.7726603463486,1496.1032181507114,-344.3305578043628,OK
G,36,COLUMN,1B,-20.8,16.15,3.96,7.92,701001,702001,62,10,2475.1436232870265,1820.9914803503614,654.1521429366651,OK
G,37,COLUMN,1C,-10.8,16.15,3.96,7.92,701002,702002,63,11,2509.081041142092,1860.3393891568744,648.7416519852177,OK
G,38,COLUMN,1D,-0.8,16.15,3.96,7.92,701003,702003,64,12,488.73049220270985,502.3000533455493,-13.569561142839461,OK
G,39,COLUMN,2A,-28.3,7.25,3.96,7.92,701004,702004,65,13,2728.873104620924,2004.4535163706068,724.4195882503172,OK
G,40,COLUMN,2B,-20.8,7.25,3.96,7.92,701005,702005,66,14,3098.0001088771323,2298.545878647915,799.4542302292175,OK
G,41,COLUMN,2C,-10.8,7.25,3.96,7.92,701006,702006,67,15,3294.4802909394566,2439.4505974093377,855.029693530119,OK
G,42,COLUMN,3B,-20.8,0.0,3.96,7.92,701007,702007,68,16,1968.1611943779903,1455.1128849125437,513.0483094654467,OK
G,43,COLUMN,3C,-10.8,0.0,3.96,7.92,701008,702008,69,17,2018.348445021642,1503.1098052571174,515.2386397645246,OK
G,44,COLUMN,E,0.0,0.0,7.92,11.88,200001,300001,70,18,601.5526671523081,190.69217996104183,410.8604871912663,OK
G,45,COLUMN,F,10.0,0.0,7.92,11.88,200101,300101,71,19,2016.653457146625,1277.2906669906793,739.3627901559457,OK
G,46,COLUMN,G,20.0,0.0,7.92,11.88,200201,300201,72,20,2642.675520053577,1859.0899344071217,783.5855856464555,OK
G,47,COLUMN,H,30.0,0.0,7.92,11.88,200301,300301,73,21,2523.6776522488567,1877.425558283514,646.2520939653427,OK
G,48,COLUMN,I,40.0,0.0,7.92,11.88,200401,300401,74,22,1358.7938545745872,942.9475236131573,415.8463309614299,OK
G,49,COLUMN,I_prima,45.0,0.0,7.92,11.88,200451,300451,75,23,1383.166405504266,1222.0515058825977,161.11489962166843,OK
G,50,COLUMN,E,0.0,7.25,7.92,11.88,201001,301001,76,24,841.8810705145697,600.9814663396918,240.89960417487794,OK
G,51,COLUMN,F,10.0,7.25,7.92,11.88,201101,301101,77,25,2252.33635728307,1538.7850869605318,713.5512703225381,OK
G,52,COLUMN,G,20.0,7.25,7.92,11.88,201201,301201,78,26,2493.655556757759,1663.5635847273065,830.0919720304523,OK
G,53,COLUMN,H,30.0,7.25,7.92,11.88,201301,301301,79,27,2514.7603313842355,1671.32487867139,843.4354527128455,OK
G,54,COLUMN,I,40.0,7.25,7.92,11.88,201401,301401,80,28,1815.722054037589,1139.2122992127072,676.5097548248818,OK
G,55,COLUMN,I_prima,45.0,7.25,7.92,11.88,201451,301451,81,29,1962.512581248561,1692.5331324539363,269.97944879462466,OK
G,56,COLUMN,E,0.0,16.15,7.92,11.88,202001,302001,82,30,595.6856382293386,-47.28525778707303,642.9708960164116,OK
G,57,COLUMN,F,10.0,16.15,7.92,11.88,202101,302101,83,31,1734.5037587137242,1154.6552508830873,579.8485078306369,OK
G,58,COLUMN,G,20.0,16.15,7.92,11.88,202201,302201,84,32,1835.9893602058278,1217.8539770173584,618.1353831884694,OK
G,59,COLUMN,H,30.0,16.15,7.92,11.88,202301,302301,85,33,1878.8240653480104,1246.7747170026464,632.049348345364,OK
G,60,COLUMN,I,40.0,16.15,7.92,11.88,202401,302401,86,34,1331.3754963131248,828.6125025562206,502.76299375690417,OK
G,61,COLUMN,I_prima,45.0,16.15,7.92,11.88,202451,302451,87,35,1496.1032181507114,1298.2336571900391,197.8695609606723,OK
G,62,COLUMN,1B,-20.8,16.15,7.92,11.88,702001,703001,88,36,1820.9914803503614,1167.9675951539032,653.0238851964582,OK
G,63,COLUMN,1C,-10.8,16.15,7.92,11.88,702002,703002,89,37,1860.3393891568744,1210.6961144360553,649.6432747208191,OK
G,64,COLUMN,1D,-0.8,16.15,7.92,11.88,702003,703003,90,38,502.3000533455493,708.9409115867943,-206.64085824124498,OK
G,65,COLUMN,2A,-28.3,7.25,7.92,11.88,702004,703004,91,39,2004.4535163706068,1288.2213435413496,716.2321728292573,OK
G,66,COLUMN,2B,-20.8,7.25,7.92,11.88,702005,703005,92,40,2298.545878647915,1501.3342917998896,797.2115868480253,OK
G,67,COLUMN,2C,-10.8,7.25,7.92,11.88,702006,703006,93,41,2439.4505974093377,1592.793331193559,846.6572662157787,OK
G,68,COLUMN,3B,-20.8,0.0,7.92,11.88,702007,703007,94,42,1455.1128849125437,940.5696277872412,514.5432571253025,OK
G,69,COLUMN,3C,-10.8,0.0,7.92,11.88,702008,703008,95,43,1503.1098052571174,986.9307867324338,516.1790185246836,OK
G,70,COLUMN,E,0.0,0.0,11.88,15.84,300001,400001,96,44,190.69217996104183,333.9956407486431,-143.30346078760127,OK
G,71,COLUMN,F,10.0,0.0,11.88,15.84,300101,400101,97,45,1277.2906669906793,648.5712079298345,628.7194590608448,OK
G,72,COLUMN,G,20.0,0.0,11.88,15.84,300201,400201,98,46,1859.0899344071217,1097.1061853396407,761.9837490674811,OK
G,73,COLUMN,H,30.0,0.0,11.88,15.84,300301,400301,99,47,1877.425558283514,1101.5910111257922,775.8345471577218,OK
G,74,COLUMN,I,40.0,0.0,11.88,15.84,300401,400401,100,48,942.9475236131573,592.7993405840689,350.1481830290884,OK
G,75,COLUMN,I_prima,45.0,0.0,11.88,15.84,300451,400451,101,49,1222.0515058825977,622.4283713945676,599.62313448803,OK
G,76,COLUMN,E,0.0,7.25,11.88,15.84,301001,401001,103,50,600.9814663396918,385.75602613837174,215.22544020132005,OK
G,77,COLUMN,F,10.0,7.25,11.88,15.84,301101,401101,104,51,1538.7850869605318,773.1401374719633,765.6449494885685,OK
G,78,COLUMN,G,20.0,7.25,11.88,15.84,301201,401201,105,52,1663.5635847273065,833.1507368914444,830.4128478358622,OK
G,79,COLUMN,H,30.0,7.25,11.88,15.84,301301,401301,106,53,1671.32487867139,827.0257272664671,844.2991514049229,OK
G,80,COLUMN,I,40.0,7.25,11.88,15.84,301401,401401,107,54,1139.2122992127072,556.2845814095963,582.9277178031109,OK
G,81,COLUMN,I_prima,45.0,7.25,11.88,15.84,301451,401451,108,55,1692.5331324539363,828.0151280582886,864.5180043956477,OK
G,82,COLUMN,E,0.0,16.15,11.88,15.84,302001,402001,110,56,-47.28525778707303,607.054211427719,-654.3394692147921,OK
G,83,COLUMN,F,10.0,16.15,11.88,15.84,302101,402101,111,57,1154.6552508830873,554.2304323413391,600.4248185417482,OK
G,84,COLUMN,G,20.0,16.15,11.88,15.84,302201,402201,112,58,1217.8539770173584,601.7099385316982,616.1440384856602,OK
G,85,COLUMN,H,30.0,16.15,11.88,15.84,302301,402301,113,59,1246.7747170026464,612.9111211178437,633.8635958848027,OK
G,86,COLUMN,I,40.0,16.15,11.88,15.84,302401,402401,114,60,828.6125025562206,397.57638826480166,431.036114291419,OK
G,87,COLUMN,I_prima,45.0,16.15,11.88,15.84,302451,402451,115,61,1298.2336571900391,632.0175708359013,666.2160863541378,OK
G,88,COLUMN,1B,-20.8,16.15,11.88,15.84,703001,704001,117,62,1167.9675951539032,519.6224866304983,648.3451085234049,OK
G,89,COLUMN,1C,-10.8,16.15,11.88,15.84,703002,704002,118,63,1210.6961144360553,596.1263609944378,614.5697534416174,OK
G,90,COLUMN,1D,-0.8,16.15,11.88,15.84,703003,704003,119,64,708.9409115867943,23.786029575000004,685.1548820117943,OK
G,91,COLUMN,2A,-28.3,7.25,11.88,15.84,703004,704004,120,65,1288.2213435413496,577.9294085921493,710.2919349492003,OK
G,92,COLUMN,2B,-20.8,7.25,11.88,15.84,703005,704005,121,66,1501.3342917998896,708.5430007631876,792.791291036702,OK
G,93,COLUMN,2C,-10.8,7.25,11.88,15.84,703006,704006,122,67,1592.793331193559,754.0196169160702,838.7737142774888,OK
G,94,COLUMN,3B,-20.8,0.0,11.88,15.84,703007,704007,123,68,940.5696277872412,423.33133017701005,517.2382976102311,OK
G,95,COLUMN,3C,-10.8,0.0,11.88,15.84,703008,704008,124,69,986.9307867324338,471.9623699589005,514.9684167735334,OK
G,96,COLUMN,E,0.0,0.0,15.84,19.8,400001,500001,,70,333.9956407486431,0,333.9956407486431,OK
G,97,COLUMN,F,10.0,0.0,15.84,19.8,400101,500101,,71,648.5712079298345,0,648.5712079298345,OK
G,98,COLUMN,G,20.0,0.0,15.84,19.8,400201,500201,,72,1097.1061853396407,0,1097.1061853396407,OK
G,99,COLUMN,H,30.0,0.0,15.84,19.8,400301,500301,,73,1101.5910111257922,0,1101.5910111257922,OK
G,100,COLUMN,I,40.0,0.0,15.84,19.8,400401,500401,,74,592.7993405840689,0,592.7993405840689,OK
G,101,COLUMN,I_prima,45.0,0.0,15.84,19.8,400451,500451,,75,622.4283713945676,0,622.4283713945676,OK
G,102,COLUMN,J,50.0,0.0,15.84,19.8,400501,500501,,,22.819660485109292,0,22.819660485109292,OK
G,103,COLUMN,E,0.0,7.25,15.84,19.8,401001,501001,,76,385.75602613837174,0,385.75602613837174,OK
G,104,COLUMN,F,10.0,7.25,15.84,19.8,401101,501101,,77,773.1401374719633,0,773.1401374719633,OK
G,105,COLUMN,G,20.0,7.25,15.84,19.8,401201,501201,,78,833.1507368914444,0,833.1507368914444,OK
G,106,COLUMN,H,30.0,7.25,15.84,19.8,401301,501301,,79,827.0257272664671,0,827.0257272664671,OK
G,107,COLUMN,I,40.0,7.25,15.84,19.8,401401,501401,,80,556.2845814095963,0,556.2845814095963,OK
G,108,COLUMN,I_prima,45.0,7.25,15.84,19.8,401451,501451,,81,828.0151280582886,0,828.0151280582886,OK
G,109,COLUMN,J,50.0,7.25,15.84,19.8,401501,501501,,,29.74272892551985,0,29.74272892551985,OK
G,110,COLUMN,E,0.0,16.15,15.84,19.8,402001,502001,,82,607.054211427719,0,607.054211427719,OK
G,111,COLUMN,F,10.0,16.15,15.84,19.8,402101,502101,,83,554.2304323413391,0,554.2304323413391,OK
G,112,COLUMN,G,20.0,16.15,15.84,19.8,402201,502201,,84,601.7099385316982,0,601.7099385316982,OK
G,113,COLUMN,H,30.0,16.15,15.84,19.8,402301,502301,,85,612.9111211178437,0,612.9111211178437,OK
G,114,COLUMN,I,40.0,16.15,15.84,19.8,402401,502401,,86,397.57638826480166,0,397.57638826480166,OK
G,115,COLUMN,I_prima,45.0,16.15,15.84,19.8,402451,502451,,87,632.0175708359013,0,632.0175708359013,OK
G,116,COLUMN,J,50.0,16.15,15.84,19.8,402501,502501,,,22.091866162528174,0,22.091866162528174,OK
G,117,COLUMN,1B,-20.8,16.15,15.84,19.8,704001,705001,,88,519.6224866304983,0,519.6224866304983,OK
G,118,COLUMN,1C,-10.8,16.15,15.84,19.8,704002,705002,,89,596.1263609944378,0,596.1263609944378,OK
G,119,COLUMN,1D,-0.8,16.15,15.84,19.8,704003,705003,,90,23.786029575000004,0,23.786029575000004,OK
G,120,COLUMN,2A,-28.3,7.25,15.84,19.8,704004,705004,,91,577.9294085921493,0,577.9294085921493,OK
G,121,COLUMN,2B,-20.8,7.25,15.84,19.8,704005,705005,,92,708.5430007631876,0,708.5430007631876,OK
G,122,COLUMN,2C,-10.8,7.25,15.84,19.8,704006,705006,,93,754.0196169160702,0,754.0196169160702,OK
G,123,COLUMN,3B,-20.8,0.0,15.84,19.8,704007,705007,,94,423.33133017701005,0,423.33133017701005,OK
G,124,COLUMN,3C,-10.8,0.0,15.84,19.8,704008,705008,,95,471.9623699589005,0,471.9623699589005,OK
G,355,STEEL_COLUMN_SHS300x20,BEAM_MANUAL,10.0,-4.12,7.92,11.88,900017,900115,,,4.641208325664469,0,4.641208325664469,OK
G,356,STEEL_COLUMN_SHS300x20,BEAM_MANUAL,17.49,-4.12,7.92,11.88,900018,900116,,,0.6649802537007089,0,0.6649802537007089,OK
G,357,STEEL_COLUMN_SHS300x20,BEAM_MANUAL,20.0,-4.12,15.84,19.8,900034,900046,,,11.390373368921361,0,11.390373368921361,OK
G,358,STEEL_COLUMN_SHS300x20,BEAM_MANUAL,30.0,-4.12,15.84,19.8,900035,900047,,,11.242706311283554,0,11.242706311283554,OK
Q,1,COLUMN,E,0.0,0.0,0.0,3.96,1,100001,18,,120.03583266557561,278.1785291137133,-158.14269644813768,OK
Q,2,COLUMN,F,10.0,0.0,0.0,3.96,101,100101,19,,251.75963390091457,728.2814360336292,-476.5218021327147,OK
Q,3,COLUMN,G,20.0,0.0,0.0,3.96,201,100201,20,,925.246984588404,925.2469845884042,-2.2737367544323206e-13,OK
Q,4,COLUMN,E,0.0,7.25,0.0,3.96,1001,101001,24,,423.0021735590615,347.6295844913567,75.37258906770478,OK
Q,5,COLUMN,F,10.0,7.25,0.0,3.96,1101,101101,25,,1145.0642931103216,1033.5720000872398,111.49229302308186,OK
Q,6,COLUMN,G,20.0,7.25,0.0,3.96,1201,101201,26,,1152.0368044697746,1152.0368044697748,-2.2737367544323206e-13,OK
Q,7,COLUMN,E,0.0,16.15,0.0,3.96,2001,102001,30,,216.8024720670279,352.38836735621936,-135.58589528919146,OK
Q,8,COLUMN,F,10.0,16.15,0.0,3.96,2101,102101,31,,297.8233189005462,727.4755157319447,-429.6521968313985,OK
Q,9,COLUMN,G,20.0,16.15,0.0,3.96,2201,102201,32,,747.6437193522083,747.6437193522082,1.1368683772161603e-13,OK
Q,10,COLUMN,1B,-20.8,16.15,0.0,3.96,700001,701001,36,,1033.276493038625,798.4279118619418,234.84858117668318,OK
Q,11,COLUMN,1C,-10.8,16.15,0.0,3.96,700002,701002,37,,1089.5409492446404,847.8483207930577,241.69262845158266,OK
Q,12,COLUMN,1D,-0.8,16.15,0.0,3.96,700003,701003,38,,125.17473630469172,119.05107892628185,6.123657378409874,OK
Q,13,COLUMN,2A,-28.3,7.25,0.0,3.96,700004,701004,39,,1145.3390497637927,879.7864662291698,265.55258353462284,OK
Q,14,COLUMN,2B,-20.8,7.25,0.0,3.96,700005,701005,40,,1524.7538407000995,1169.3551462868213,355.39869441327824,OK
Q,15,COLUMN,2C,-10.8,7.25,0.0,3.96,700006,701006,41,,1713.5839546660718,1312.8772732386572,400.70668142741465,OK
Q,16,COLUMN,3B,-20.8,0.0,0.0,3.96,700007,701007,42,,830.4319922727876,641.9029685283135,188.5290237444741,OK
Q,17,COLUMN,3C,-10.8,0.0,0.0,3.96,700008,701008,43,,891.5326682650167,691.3435156804736,200.18915258454308,OK
Q,18,COLUMN,E,0.0,0.0,3.96,7.92,100001,200001,44,1,278.1785291137133,148.49746439712388,129.68106471658942,OK
Q,19,COLUMN,F,10.0,0.0,3.96,7.92,100101,200101,45,2,728.2814360336292,505.9541511593825,222.32728487424674,OK
Q,20,COLUMN,G,20.0,0.0,3.96,7.92,100201,200201,46,3,925.2469845884042,719.1865948024424,206.06038978596177,OK
Q,21,COLUMN,H,30.0,0.0,3.96,7.92,100301,200301,47,,892.9904755839252,739.0470034760218,153.9434721079034,OK
Q,22,COLUMN,I,40.0,0.0,3.96,7.92,100401,200401,48,,293.8032804049456,351.0159308888352,-57.212650483889604,OK
Q,23,COLUMN,I_prima,45.0,0.0,3.96,7.92,100451,200451,49,,423.54425914265624,374.89959001148753,48.64466913116871,OK
Q,24,COLUMN,E,0.0,7.25,3.96,7.92,101001,201001,50,4,347.6295844913567,266.3042385142084,81.32534597714829,OK
Q,25,COLUMN,F,10.0,7.25,3.96,7.92,101101,201101,51,5,1033.5720000872398,782.9420540114847,250.62994607575502,OK
Q,26,COLUMN,G,20.0,7.25,3.96,7.92,101201,201201,52,6,1152.0368044697748,845.6420728538122,306.39473161596254,OK
Q,27,COLUMN,H,30.0,7.25,3.96,7.92,101301,201301,53,,1235.2297444333676,923.7728596168681,311.4568848164995,OK
Q,28,COLUMN,I,40.0,7.25,3.96,7.92,101401,201401,54,,902.032805355649,657.1561133729838,244.8766919826652,OK
Q,29,COLUMN,I_prima,45.0,7.25,3.96,7.92,101451,201451,55,,699.9665339697302,613.7907289858775,86.17580498385269,OK
Q,30,COLUMN,E,0.0,16.15,3.96,7.92,102001,202001,56,7,352.38836735621936,157.88984744608402,194.49851991013534,OK
Q,31,COLUMN,F,10.0,16.15,3.96,7.92,102101,202101,57,8,727.4755157319447,564.9374345427074,162.53808118923735,OK
Q,32,COLUMN,G,20.0,16.15,3.96,7.92,102201,202201,58,9,747.6437193522082,576.5586432659311,171.08507608627713,OK
Q,33,COLUMN,H,30.0,16.15,3.96,7.92,102301,202301,59,,474.04600189297133,589.6151835809193,-115.56918168794795,OK
Q,34,COLUMN,I,40.0,16.15,3.96,7.92,102401,202401,60,,338.1890230738846,409.103783061169,-70.91475998728441,OK
Q,35,COLUMN,I_prima,45.0,16.15,3.96,7.92,102451,202451,61,,293.0028741587711,416.72176773442544,-123.71889357565436,OK
Q,36,COLUMN,1B,-20.8,16.15,3.96,7.92,701001,702001,62,10,798.4279118619418,563.8326016242771,234.59531023766465,OK
Q,37,COLUMN,1C,-10.8,16.15,3.96,7.92,701002,702002,63,11,847.8483207930577,601.3687541232823,246.4795666697754,OK
