bloque,z_m,piso,master,G_kN,Q_kN,peso_sismico_kN,masa_t,CM_x_m,CM_y_m,Gx_kNm,Gy_kNm,Qx_kNm,Qy_kNm,a_g,a_m_s2,F_kN,Mz_EX_master_kNm,Mz_EY_master_kNm
LT1,3.96,1,100001,4404.9969196625,613.4115801386399,4711.70270973182,480.4599643845574,9.581286738801698,8.280217117998864,43948.3089050085,36344.99023521731,2391.731569842027,5337.862393651487,0.2,1.96133,942.3405419463639,-7802.78428640861,9028.834937985901
LT2,3.96,1,601002,7116.52771141375,2413.41668660246,8323.23605471498,848.7338749435312,-17.640862965898197,8.281091931580265,-126263.68327873,59203.287789064765,-41130.766790640235,19444.39029654682,0.2,1.96133,1664.647210942996,-13785.096587467637,23370.210307864087
LT1,7.92,2,200001,10918.11921424056,3082.659349228,12459.44888885456,1270.510203673483,21.479515622754562,7.88078587266745,233851.58767606548,86561.06318191013,67542.67876599608,23258.371205194093,0.2,1.96133,2491.889777770912,-19638.049756901437,53524.5854118127
LT2,7.92,2,600003,7029.1025444137495,2344.58304337243,8201.394066099965,836.309449822311,-17.894092051651985,8.299402816317034,-126211.444590135,58587.65027471176,-41090.1115610603,18958.045470408182,0.2,1.96133,1640.2788132199933,-13488.673412178454,23219.635889567748
LT1,11.88,3,300001,10729.30933954056,3191.4987484525,12325.05871376681,1256.8062196332908,20.881144798066224,7.468772582357823,222777.32747081047,80617.08054100313,69168.01635204423,22871.960112657573,0.2,1.96133,2465.0117427533623,-18410.612119466387,51472.267129366526
LT2,11.88,3,600004,7029.10253941375,2344.583036507775,8201.394057667638,836.3094489624528,-17.893786314414243,8.300052781071829,-126209.475122565,58592.25557507027,-41089.0352512929,18959.49596387997,0.2,1.96133,1640.2788115335277,-12533.456974601455,23220.137360007262
LT1,15.84,4,400001,11877.86541551556,2901.1324948501274,13328.431662940624,1359.1217860268926,23.810153513520955,7.538736994116185,282748.6642301902,89298.11645938613,69206.67951779884,22362.84878314771,0.2,1.96133,2665.686332588125,-20095.908170191997,63470.400797817936
LT2,15.84,4,600005,7083.52524016375,2366.4966711206275,8266.773575724064,842.976304418335,-17.713412956672656,8.331206759554718,-125884.30313569374,59216.96241323433,-41096.94206083205,19310.474961092645,0.2,1.96133,1653.3547151448129,-11720.973422546273,23703.46378716929
LT1,19.8,5,500001,12573.79395106556,4375.0787858627145,14761.333343996917,1505.2370936045356,24.810622677985457,7.029230343813885,310025.11329371587,86764.49225808501,112425.517056314,33992.63999737962,0.2,1.96133,2952.2666687993838,-20752.162451354965,73247.57436437457
LT2,19.8,5,600006,5944.940419206875,971.7371131191851,6430.8089757664675,655.7600175153052,-18.23198866859197,8.262057924227996,-108525.00722058,49017.068765620446,-17442.858310947533,8229.294983614853,0.2,1.96133,1286.1617951532935,-8279.097975330813,17772.1982594523
