P_objetivo_kN,phi_1_m,M_kNm,P_seccion_kN,eps0,eps_c_extrema,eps_s_max_abs
0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.00025,34.90774679529063,1.0880185641326534e-13,5.13522843859387e-05,-3.61477156140613e-05,0.00012060228438593869
0.0,0.0005,69.73231373771557,-7.682743330406083e-13,0.00010253645531439744,-7.246354468560256e-05,0.00024103645531439743
0.0,0.00075,104.47213097648593,-2.682298827494378e-13,0.00015354894715093243,-0.00010895105284906755,0.0003612989471509324
0.0,0.001,139.12557231127838,5.613287612504791e-13,0.0002043860588304987,-0.0001456139411695013,0.0004813860588304986
0.0,0.00125,173.69095219691835,4.849454171562684e-13,0.0002550439465108858,-0.00018245605348911413,0.0006012939465108859
0.0,0.0015,208.1665225377824,3.019806626980426e-14,0.0003055186157044999,-0.0002194813842955001,0.0007210186157044999
0.0,0.00175,242.55046925347813,-4.121147867408581e-12,0.0003558059128424491,-0.0002566940871575509,0.000840555912842449
0.0,0.002,276.84090859543204,-2.1014301410104963e-12,0.0004059015162199983,-0.0002940984837800017,0.0009599015162199982
0.0,0.0022500000000000003,311.0358831918257,-5.861977570020827e-14,0.0004558009262669772,-0.0003316990737330228,0.0010790509262669772
0.0,0.0025000000000000005,345.1333577958557,-4.913403017781093e-12,0.0005054994550805161,-0.00036950054491948403,0.0011979994550805162
0.0,0.0027500000000000007,379.13121470952234,-7.65609797781508e-13,0.0005549922151505229,-0.0004075077848494773,0.001316742215150523
0.0,0.003000000000000001,413.02724885198353,1.3926637620897964e-12,0.0006042741072004076,-0.0004457258927995925,0.0014352741072004077
0.0,0.003250000000000001,446.82062681776955,5.435651928564766e-13,0.0006534049801726015,-0.00048409501982739876,0.0015536549801726017
0.0,0.0035000000000000014,480.50985716199244,2.6147972675971687e-12,0.0007023878234391303,-0.0005226121765608701,0.0016718878234391306
0.0,0.0037500000000000016,514.0917502064797,-8.324008149429574e-12,0.0007511668545702239,-0.0005613331454297766,0.0017899168545702244
0.0,0.004000000000000002,547.5639969834688,-3.154809746774845e-12,0.0007997371360006819,-0.0006002628639993188,0.0019077371360006823
0.0,0.004250000000000002,580.9241936217796,-2.7746693831431912e-12,0.0008480935125134824,-0.0006394064874865182,0.002025343512513483
0.0,0.004500000000000002,605.8205021654103,-1.542633754070266e-08,0.0009002767041784139,-0.0006747232958215867,0.0021467767041784143
0.0,0.0047500000000000025,616.0480672720728,-2.8563817977556027e-12,0.000959768440797186,-0.0007027315592028148,0.0022755184407971868
0.0,0.005000000000000003,626.1588073858226,-1.715960706860642e-12,0.001019791406295696,-0.0007302085937043049,0.0024047914062956966
0.0,0.005250000000000003,636.2418614356474,1.1439738045737613e-12,0.0010797212174677383,-0.0007577787825322625,0.002533971217467739
