beam_type,position_m,w_kN_per_m
beam_6m_trapezoidal,0.0,0.0
beam_6m_trapezoidal,0.5,2.5
beam_6m_trapezoidal,1.0,5.0
beam_6m_trapezoidal,1.5,7.5
beam_6m_trapezoidal,2.0,10.0
beam_6m_trapezoidal,2.5,12.5
beam_6m_trapezoidal,3.0,12.5
beam_6m_trapezoidal,3.5,12.5
beam_6m_trapezoidal,4.0,10.0
beam_6m_trapezoidal,4.5,7.5
beam_6m_trapezoidal,5.0,5.0
beam_6m_trapezoidal,5.5,2.5
beam_6m_trapezoidal,6.0,0.0
beam_5m_triangular,0.0,0.0
beam_5m_triangular,0.5,2.5
beam_5m_triangular,1.0,5.0
beam_5m_triangular,1.5,7.5
beam_5m_triangular,2.0,10.0
beam_5m_triangular,2.5,12.5
beam_5m_triangular,3.0,10.0
beam_5m_triangular,3.5,7.5
beam_5m_triangular,4.0,5.0
beam_5m_triangular,4.5,2.5
beam_5m_triangular,5.0,0.0
